Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1447,Correct,0,719
1,DLDUD,16,2,1039,Correct,0,915
1,PDPGP,16,2,1070,Correct,0,686
1,MWMWM,15,1,1017,Correct,0,781
1,FTFTF,15,1,923,Correct,0,679
1,AXAMA,16,2,925,Correct,0,784
1,RYRGR,16,2,1071,Correct,0,846
1,DODOD,15,1,778,Correct,0,789
1,QTQAQ,16,2,1430,Correct,0,670
1,YEYEY,15,1,785,Correct,0,847
2,GYGDG,16,2,979,Correct,0,655
2,SWSWS,15,1,852,Correct,0,704
2,HLHUH,16,2,795,Correct,0,717
2,DEDED,15,1,785,Correct,0,828
2,ZPZOZ,16,2,685,Correct,0,671
2,ATATA,15,1,999,Correct,0,830
2,QOQOQ,15,,,False,0,891
2,FPFGF,16,2,943,Correct,0,907
2,TRTET,16,2,864,Correct,0,844
2,DQDQD,15,1,887,Correct,0,713
AT Practice
1,TKTKT,15,1,1381,Correct,0,760
1,SLSUS,16,2,1365,Correct,0,809
1,VZVGV,7,3,1172,Correct,0,820
1,XWXZX,7,3,1175,Correct,0,926
1,ATATA,15,2,818,False,0,756
1,HXZMH,16,,,False,0,724
1,TZTZT,7,3,1123,Correct,0,790
1,UOUOU,15,1,1036,Correct,0,779
1,ZTWAW,16,2,1242,Correct,0,724
1,RZRER,7,3,753,Correct,0,731
2,JYJDJ,16,2,968,Correct,0,753
2,DWDWD,15,1,743,Correct,0,727
2,GNGNG,7,3,656,Correct,0,740
2,NEZEZ,16,1,1160,Correct,0,949
2,RNROR,7,3,861,Correct,0,791
2,QTQNQ,7,2,1150,False,0,880
2,HOHON,15,1,987,Correct,0,675
2,KPKGK,16,2,1244,Correct,0,747
2,DRDED,16,2,1164,Correct,0,910
2,LNLNL,7,3,831,Correct,0,949
4,GLGLG,15,1,1151,Correct,0,888
4,DTDID,16,2,923,Correct,0,661
4,SMSGS,16,2,1251,Correct,0,667
4,ZFZYZ,7,3,1288,Correct,0,794
4,TSTFT,7,3,1103,Correct,0,709
4,OFOFO,7,3,971,Correct,0,698
4,WYFGW,16,2,1370,Correct,0,793
4,WYWYW,15,1,1511,Correct,0,916
4,MFMCM,7,3,831,Correct,0,845
4,HQHEH,16,2,1160,Correct,0,712
Trials
1,D,5,3,14345,New Target,1,683
1,ZNZYZ,161,2,1314,Correct,1,876
1,FZFZF,151,1,838,Correct,1,809
1,RKRKR,152,1,962,Correct,1,675
1,RXRNR,161,2,819,Correct,1,912
1,CNCFC,162,2,1023,Correct,1,667
1,PDPDP,7,3,671,Correct,1,791
1,CPCFC,14,2,972,Correct,1,868
1,VLVNV,162,2,831,Correct,1,828
1,KFKFK,151,1,791,Correct,1,855
1,ZNZNZ,152,3,740,Incorrect,1,788
1,KCKPD,235,2,1487,Correct,1,848
1,ZKZFZ,222,2,892,Correct,1,765
1,NRNZN,162,2,912,Correct,1,805
1,KXKRK,163,2,772,Correct,1,834
1,YPYZY,164,2,1026,Correct,1,692
1,FKDKF,223,2,1153,Incorrect,1,843
1,RPRPR,113,,,Incorrect,1,674
1,VRVKV,161,2,824,Correct,1,924
1,RFRPR,162,2,1057,Correct,1,809
1,KVKVK,151,1,743,Correct,1,666
1,YKYVY,161,2,801,Correct,1,879
1,VDVDV,8,3,799,Correct,1,776
1,DVZVZ,221,3,1252,Incorrect,1,838
1,YFYFY,113,1,1017,Correct,1,890
1,ZYZYZ,152,1,854,Correct,1,901
1,VLVXV,161,2,768,Correct,1,709
1,DPXZX,231,2,1023,Correct,1,731
1,RYRYR,113,1,764,Correct,1,887
1,PDPNP,91,3,886,Correct,1,813
1,KXKXK,13,1,957,Correct,1,779
1,ZYZYZ,152,1,882,Correct,1,741
1,VKVKV,153,1,776,Correct,1,778
1,YZYZY,154,1,739,Correct,1,854
1,NLNZN,161,2,1219,Correct,1,661
1,ZNDYZ,233,2,1295,Correct,1,702
1,PCPXP,222,2,708,Correct,1,860
1,ZVZFZ,162,2,829,Correct,1,938
1,RCRZR,163,2,821,Correct,1,874
1,LRLRL,151,1,891,Correct,1,815
1,ZDZDZ,10,3,781,Correct,1,937
1,RNRZR,14,2,1168,Correct,1,908
1,CXCYC,162,2,1065,Correct,1,930
1,RCRLR,163,2,882,Correct,1,909
1,FRFRF,151,1,825,Correct,1,777
1,XFXFX,152,1,836,Correct,1,719
1,RPRLR,161,2,1022,Correct,1,744
1,YXYRY,162,2,762,Correct,1,906
1,FYFYF,151,1,769,Correct,1,949
1,YZYVY,161,2,751,Correct,1,699
1,YKYKY,151,1,877,Correct,1,768
1,XRXRX,152,1,851,Correct,1,866
1,XVXZX,161,2,779,Correct,1,816
1,PDPDP,11,3,869,Correct,1,852
1,ZFZFZ,13,1,695,Correct,1,929
1,PXPXP,152,1,775,Correct,1,738
1,LYLYL,153,1,801,Correct,1,832
1,NKNKD,225,2,1179,Incorrect,1,766
1,ZNZNZ,113,1,964,Correct,1,857
1,PYPZP,161,2,1014,Correct,1,855
1,XPXPX,151,1,1031,Correct,1,791
1,VLVLV,152,1,935,Correct,1,846
1,PKPXP,161,2,934,Correct,1,920
1,FZFZF,151,1,700,Correct,1,760
1,LDLDL,12,3,735,Correct,1,650
2,U,5,3,1411,New Target,2,657
2,ZVZFZ,161,2,852,Correct,2,681
2,FZFZF,151,1,927,Correct,2,653
2,RFRFR,152,1,775,Correct,2,706
2,NZNKN,161,2,897,Correct,2,779
2,FZFNF,162,2,1031,Correct,2,736
2,RXRXR,151,1,759,Correct,2,837
2,KRKYK,161,2,772,Correct,2,724
2,NZNPN,162,2,849,Correct,2,755
2,XPXPX,151,1,711,Correct,2,872
2,CUCUC,7,3,771,Correct,2,836
2,RFRFR,13,1,766,Correct,2,748
2,VYVXV,161,2,972,Correct,2,763
2,VDVDV,191,1,925,Correct,2,832
2,ZKZRZ,15,2,933,Correct,2,734
2,XCXCX,151,1,789,Correct,2,873
2,CNCUC,82,3,1374,Correct,2,815
2,RCRCR,13,1,886,Correct,2,726
2,ZPZXZ,161,2,719,Correct,2,777
2,FKFYF,162,2,783,Correct,2,716
2,ZFZYZ,163,2,773,Correct,2,907
2,PXPXP,151,1,815,Correct,2,841
2,URCKC,231,2,1288,Correct,2,771
2,PCPCP,113,1,815,Correct,2,801
2,XNXNX,152,1,839,Correct,2,817
2,RCRZR,161,2,701,Correct,2,883
2,XVXVX,151,1,792,Correct,2,826
2,NRNRN,152,1,776,Correct,2,664
2,FPFPF,225,1,963,Correct,2,813
2,XVXFX,222,2,884,Correct,2,891
2,PRPRP,151,1,867,Correct,2,941
2,FYFCF,161,2,744,Correct,2,834
2,XUXFX,91,1,593,Incorrect,2,892
2,CYCVC,14,2,945,Correct,2,807
2,VDVKV,172,2,1029,Correct,2,805
2,YCYCY,15,3,700,Incorrect,2,670
2,NKNLN,161,2,809,Correct,2,814
2,XPUKX,233,2,916,Correct,2,806
2,ZPZPZ,113,1,699,Correct,2,737
2,KRKRK,152,1,812,Correct,2,671
2,XKXKX,153,1,997,Correct,2,769
2,YUYVY,101,3,921,Correct,2,712
2,XKXFU,235,2,1400,Correct,2,933
2,NFNFN,113,1,776,Correct,2,888
2,KDKDK,193,1,773,Correct,2,695
2,XYXKX,16,2,798,Correct,2,848
2,YZUZY,223,2,1020,Incorrect,2,706
2,KFKVK,222,2,822,Correct,2,917
2,LYLYL,151,1,1087,Correct,2,853
2,CXCDC,184,2,845,Incorrect,2,752
2,XZXNX,16,2,1057,Correct,2,925
2,PXPXP,151,1,832,Correct,2,818
2,ZRZYZ,161,2,745,Correct,2,800
2,PUPYP,111,3,882,Correct,2,847
2,RNRNR,14,1,934,Correct,2,837
2,KDKDK,195,1,799,Correct,2,690
2,KNKNK,15,1,728,Correct,2,779
2,PRPKP,161,2,903,Correct,2,816
2,UNYNY,221,1,1032,Correct,2,918
2,NYNYN,113,1,1256,Correct,2,781
2,YXYXY,152,1,835,Incorrect,2,734
2,RDRDR,196,1,826,Correct,2,852
2,FCFCF,15,1,706,Correct,2,847
2,ZKZKZ,152,1,730,Correct,2,884
2,ZUZUZ,12,3,789,Correct,2,800
3,E,5,3,1874,New Target,3,771
3,YZYZY,151,3,670,Incorrect,3,755
3,VFVNV,161,2,1324,Correct,3,812
3,KYKYK,151,1,877,Correct,3,950
3,NKNKN,152,1,800,Correct,3,895
3,XVXNX,161,2,888,Correct,3,822
3,RERFR,71,3,939,Correct,3,899
3,XNXNX,13,1,894,Correct,3,837
3,NXNXN,152,1,1082,Correct,3,693
3,ZLZNZ,161,2,974,Correct,3,666
3,CUCNC,171,2,971,Correct,3,915
3,FYFRF,16,2,783,Correct,3,782
3,ZLZLZ,151,1,825,Correct,3,785
3,YZYZY,152,1,700,Correct,3,926
3,CYCYC,153,1,879,Correct,3,711
