Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,589,Correct,0,742
1,DLDUD,16,2,621,Correct,0,682
1,PDPGP,16,2,701,Correct,0,707
1,MWMWM,15,1,792,Correct,0,742
1,FTFTF,15,1,666,Correct,0,885
1,AXAMA,16,2,585,Correct,0,765
1,RYRGR,16,2,855,Correct,0,793
1,DODOD,15,1,511,Correct,0,658
1,QTQAQ,16,2,781,Correct,0,906
1,YEYEY,15,2,534,False,0,653
2,GYGDG,16,2,752,Correct,0,782
2,SWSWS,15,1,662,Correct,0,840
2,HLHUH,16,2,722,Correct,0,775
2,DEDED,15,1,671,Correct,0,696
2,ZPZOZ,16,2,598,Correct,0,818
2,ATATA,15,1,734,Correct,0,926
2,QOQOQ,15,1,966,Correct,0,823
2,FPFGF,16,2,598,Correct,0,751
2,TRTET,16,2,695,Correct,0,718
2,DQDQD,15,1,926,Correct,0,900
AT Practice
1,TKTKT,15,1,880,Correct,0,663
1,SLSUS,16,2,789,Correct,0,688
1,VZVGV,7,3,784,Correct,0,700
1,XWXZX,7,3,1100,Correct,0,672
1,ATATA,15,1,806,Correct,0,811
1,HXZMH,16,2,1001,Correct,0,865
1,TZTZT,7,3,545,Correct,0,875
1,UOUOU,15,1,532,Correct,0,725
1,ZTWAW,16,2,728,Correct,0,724
1,RZRER,7,3,531,Correct,0,769
2,JYJDJ,16,2,928,Correct,0,848
2,DWDWD,15,1,748,Correct,0,884
2,GNGNG,7,3,538,Correct,0,678
2,NEZEZ,16,1,636,Correct,0,721
2,RNROR,7,3,649,Correct,0,731
2,QTQNQ,7,2,746,False,0,691
2,HOHON,15,1,727,Correct,0,693
2,KPKGK,16,2,1126,Correct,0,652
2,DRDED,16,2,893,Correct,0,891
2,LNLNL,7,3,620,Correct,0,867
4,GLGLG,15,1,802,Correct,0,767
4,DTDID,16,2,654,Correct,0,657
4,SMSGS,16,2,893,Correct,0,721
4,ZFZYZ,7,3,517,Correct,0,700
4,TSTFT,7,3,866,Correct,0,870
4,OFOFO,7,3,746,Correct,0,675
4,WYFGW,16,2,819,Correct,0,760
4,WYWYW,15,1,1032,Correct,0,792
4,MFMCM,7,2,771,False,0,871
4,HQHEH,16,2,1032,Correct,0,832
Trials
1,D,5,3,18519,New Target,1,940
1,ZNZYZ,161,2,798,Correct,1,941
1,FZFZF,151,1,700,Correct,1,689
1,RKRKR,152,1,851,Correct,1,906
1,RXRNR,161,2,800,Correct,1,706
1,CNCFC,162,2,810,Correct,1,719
1,PDPDP,7,3,556,Correct,1,938
1,CPCFC,14,2,658,Correct,1,729
1,VLVNV,162,2,738,Correct,1,810
1,KFKFK,151,1,861,Correct,1,761
1,ZNZNZ,152,1,915,Correct,1,882
1,KCKPD,235,2,776,Correct,1,781
1,ZKZFZ,222,2,739,Correct,1,827
1,NRNZN,162,1,1085,Incorrect,1,932
1,KXKRK,163,,,Incorrect,1,914
1,YPYZY,164,2,596,Correct,1,685
1,FKDKF,223,2,801,Incorrect,1,899
1,RPRPR,113,1,1306,Correct,1,860
1,VRVKV,161,2,769,Correct,1,802
1,RFRPR,162,,,Incorrect,1,786
1,KVKVK,151,1,1142,Correct,1,860
1,YKYVY,161,2,740,Correct,1,709
1,VDVDV,8,3,734,Correct,1,868
1,DVZVZ,221,1,972,Correct,1,802
1,YFYFY,113,1,781,Correct,1,804
1,ZYZYZ,152,1,1013,Correct,1,854
1,VLVXV,161,2,755,Correct,1,908
1,DPXZX,231,2,1245,Correct,1,865
1,RYRYR,113,1,1056,Correct,1,920
1,PDPNP,91,3,728,Correct,1,919
1,KXKXK,13,1,824,Correct,1,709
1,ZYZYZ,152,1,686,Correct,1,894
1,VKVKV,153,1,717,Correct,1,755
1,YZYZY,154,2,1227,Incorrect,1,734
1,NLNZN,161,2,1092,Correct,1,797
1,ZNDYZ,233,2,1045,Correct,1,749
1,PCPXP,222,2,699,Correct,1,669
1,ZVZFZ,162,2,588,Correct,1,747
1,RCRZR,163,2,575,Correct,1,711
1,LRLRL,151,2,599,Incorrect,1,683
1,ZDZDZ,10,3,728,Correct,1,755
1,RNRZR,14,2,755,Correct,1,874
1,CXCYC,162,2,922,Correct,1,921
1,RCRLR,163,2,879,Correct,1,825
1,FRFRF,151,1,721,Correct,1,932
1,XFXFX,152,1,730,Correct,1,892
1,RPRLR,161,2,723,Correct,1,873
1,YXYRY,162,2,830,Correct,1,806
1,FYFYF,151,1,874,Correct,1,686
1,YZYVY,161,2,813,Correct,1,916
1,YKYKY,151,1,827,Correct,1,657
1,XRXRX,152,2,1076,Incorrect,1,792
1,XVXZX,161,2,896,Correct,1,843
1,PDPDP,11,3,699,Correct,1,673
1,ZFZFZ,13,1,707,Correct,1,942
1,PXPXP,152,1,656,Correct,1,803
1,LYLYL,153,1,732,Correct,1,883
1,NKNKD,225,1,973,Correct,1,708
1,ZNZNZ,113,1,659,Correct,1,681
1,PYPZP,161,2,747,Correct,1,948
1,XPXPX,151,1,632,Correct,1,750
1,VLVLV,152,1,803,Correct,1,874
1,PKPXP,161,2,786,Correct,1,697
1,FZFZF,151,1,783,Correct,1,688
1,LDLDL,12,1,520,Incorrect,1,843
2,U,5,3,9203,New Target,2,819
2,ZVZFZ,161,2,712,Correct,2,683
2,FZFZF,151,1,807,Correct,2,800
2,RFRFR,152,1,866,Correct,2,724
2,NZNKN,161,2,746,Correct,2,748
2,FZFNF,162,2,675,Correct,2,833
2,RXRXR,151,1,749,Correct,2,878
2,KRKYK,161,2,634,Correct,2,760
2,NZNPN,162,2,842,Correct,2,789
2,XPXPX,151,1,687,Correct,2,835
2,CUCUC,7,3,637,Correct,2,771
2,RFRFR,13,1,835,Correct,2,657
2,VYVXV,161,2,713,Correct,2,823
2,VDVDV,191,2,987,Incorrect,2,717
2,ZKZRZ,15,2,716,Correct,2,829
2,XCXCX,151,1,634,Correct,2,735
2,CNCUC,82,3,694,Correct,2,863
2,RCRCR,13,1,689,Correct,2,923
2,ZPZXZ,161,2,724,Correct,2,658
2,FKFYF,162,2,791,Correct,2,677
2,ZFZYZ,163,2,976,Correct,2,784
2,PXPXP,151,1,703,Correct,2,872
2,URCKC,231,2,1021,Correct,2,765
2,PCPCP,113,3,667,Incorrect,2,876
2,XNXNX,152,1,1134,Correct,2,670
2,RCRZR,161,2,798,Correct,2,690
2,XVXVX,151,2,888,Incorrect,2,767
2,NRNRN,152,1,846,Correct,2,831
2,FPFPF,225,1,726,Correct,2,759
2,XVXFX,222,2,1073,Correct,2,926
2,PRPRP,151,1,707,Correct,2,662
2,FYFCF,161,2,854,Correct,2,675
2,XUXFX,91,3,505,Correct,2,908
2,CYCVC,14,2,873,Correct,2,898
2,VDVKV,172,2,909,Correct,2,819
2,YCYCY,15,1,643,Correct,2,732
2,NKNLN,161,2,726,Correct,2,719
2,XPUKX,233,3,519,Incorrect,2,710
2,ZPZPZ,113,1,875,Correct,2,851
2,KRKRK,152,1,785,Correct,2,809
2,XKXKX,153,1,844,Correct,2,722
2,YUYVY,101,3,786,Correct,2,853
2,XKXFU,235,2,866,Correct,2,689
2,NFNFN,113,1,760,Correct,2,877
2,KDKDK,193,1,592,Correct,2,901
2,XYXKX,16,2,723,Correct,2,728
2,YZUZY,223,1,801,Correct,2,723
2,KFKVK,222,2,872,Correct,2,867
2,LYLYL,151,1,702,Correct,2,861
2,CXCDC,184,2,890,Incorrect,2,777
2,XZXNX,16,2,753,Correct,2,814
2,PXPXP,151,1,891,Correct,2,788
2,ZRZYZ,161,2,849,Correct,2,776
2,PUPYP,111,3,819,Correct,2,938
2,RNRNR,14,1,717,Correct,2,746
2,KDKDK,195,1,656,Correct,2,655
2,KNKNK,15,1,651,Correct,2,936
2,PRPKP,161,2,719,Correct,2,704
2,UNYNY,221,1,978,Correct,2,662
2,NYNYN,113,2,817,Incorrect,2,855
2,YXYXY,152,1,950,Incorrect,2,915
2,RDRDR,196,1,602,Correct,2,814
2,FCFCF,15,1,710,Correct,2,900
2,ZKZKZ,152,1,609,Correct,2,894
2,ZUZUZ,12,3,677,Correct,2,729
3,E,5,3,5059,New Target,3,845
3,YZYZY,151,1,813,Correct,3,932
3,VFVNV,161,2,740,Correct,3,883
3,KYKYK,151,1,795,Correct,3,892
3,NKNKN,152,1,618,Correct,3,691
3,XVXNX,161,2,781,Correct,3,750
3,RERFR,71,3,581,Correct,3,821
3,XNXNX,13,1,642,Correct,3,920
3,NXNXN,152,1,699,Correct,3,929
3,ZLZNZ,161,2,760,Correct,3,761
3,CUCNC,171,2,1158,Correct,3,714
3,FYFRF,16,2,799,Correct,3,917
3,ZLZLZ,151,1,599,Correct,3,846
3,YZYZY,152,3,598,Incorrect,3,869
3,CYCYC,153,1,844,Correct,3,705
3,VUVUV,192,1,1247,Correct,3,926
