Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,708,Correct,0,765
1,DLDUD,16,,,False,0,825
1,PDPGP,16,2,791,Correct,0,726
1,MWMWM,15,1,703,Correct,0,807
1,FTFTF,15,1,788,Correct,0,921
1,AXAMA,16,2,846,Correct,0,711
1,RYRGR,16,2,739,Correct,0,755
1,DODOD,15,1,527,Correct,0,695
1,QTQAQ,16,1,739,False,0,702
1,YEYEY,15,1,618,Correct,0,837
2,GYGDG,16,2,730,Correct,0,665
2,SWSWS,15,1,494,Correct,0,885
2,HLHUH,16,2,658,Correct,0,713
2,DEDED,15,1,457,Correct,0,943
2,ZPZOZ,16,2,494,Correct,0,742
2,ATATA,15,1,530,Correct,0,755
2,QOQOQ,15,1,624,Correct,0,844
2,FPFGF,16,2,655,Correct,0,740
2,TRTET,16,1,541,False,0,713
2,DQDQD,15,1,1022,Correct,0,763
DT Practice
1,TKTKT,15,2,1125,False,0,714
1,SLSUS,16,2,1241,Correct,0,912
1,VZVGV,7,[2][2],[851][1587],False,0,749
1,XWXZX,7,[2][3],[893][1229],Correct,0,766
1,ATATA,15,1,1011,Correct,0,838
1,HXZMH,16,2,814,Correct,0,799
1,TZTZT,7,[1][3],[712][951],Correct,0,933
1,UOUOU,15,1,711,Correct,0,773
1,ZTWAW,16,2,586,Correct,0,927
1,RZRER,7,[2][3],[875][1099],Correct,0,750
2,JYJDJ,16,2,794,Correct,0,918
2,DWDWD,15,1,702,Correct,0,859
2,GNGNG,7,,,False,0,880
2,NEZEZ,16,1,961,Correct,0,861
2,RNROR,7,,,False,0,749
2,QTQNQ,7,,,False,0,904
2,HOHON,15,,,False,0,937
2,KPKGK,16,,,False,0,813
2,DRDED,16,,,False,0,784
2,LNLNL,7,,,False,0,816
4,GLGLG,15,2,951,False,0,870
4,DTDID,16,2,955,Correct,0,676
4,SMSGS,16,2,939,Correct,0,741
4,ZFZYZ,7,[2][3],[878][1118],Correct,0,759
4,TSTFT,7,[2][3],[1093][1317],Correct,0,800
4,OFOFO,7,[1][3],[1196][1420],Correct,0,793
4,WYFGW,16,2,835,Correct,0,672
4,WYWYW,15,2,854,False,0,798
4,MFMCM,7,[2][3],[1015][1223],Correct,0,942
4,HQHEH,16,2,822,Correct,0,676
1,TKTKT,15,1,1057,Correct,0,663
1,SLSUS,16,2,621,Correct,0,850
1,VZVGV,7,[2],[879],False,0,691
1,XWXZX,7,[1],[1449],False,0,770
1,ATATA,15,1,785,Correct,0,833
1,HXZMH,16,2,689,Correct,0,931
1,TZTZT,7,[1],[829],False,0,772
1,UOUOU,15,1,1432,Correct,0,885
1,ZTWAW,16,2,639,Correct,0,921
1,RZRER,7,[2],[800],False,0,886
2,JYJDJ,16,2,729,Correct,0,947
2,DWDWD,15,1,676,Correct,0,722
2,GNGNG,7,[1][3],[931][1155],Correct,0,863
2,NEZEZ,16,1,995,Correct,0,734
2,RNROR,7,[2][3],[906][1113],Correct,0,936
2,QTQNQ,7,[2][3],[650][921],Correct,0,848
2,HOHON,15,1,998,Correct,0,831
2,KPKGK,16,2,709,Correct,0,769
2,DRDED,16,2,961,Correct,0,709
2,LNLNL,7,[1][3],[737][993],Correct,0,805
Trials
1,D,5,3,1121,New Target,1,882
1,ZNZYZ,161,,,Incorrect,1,751
1,FZFZF,151,,,Incorrect,1,842
1,RKRKR,152,,,Incorrect,1,720
1,RXRNR,161,,,Incorrect,1,915
1,CNCFC,162,,,Incorrect,1,812
1,PDPDP,7,[16],[518],Incorrect,1,762
1,CPCFC,14,,,Incorrect,1,691
1,VLVNV,162,,,Incorrect,1,712
1,KFKFK,151,,,Incorrect,1,736
1,ZNZNZ,152,,,Incorrect,1,823
1,KCKPD,235,,,Incorrect,1,774
1,ZKZFZ,222,,,Incorrect,1,781
1,NRNZN,162,,,Incorrect,1,788
1,KXKRK,163,,,Incorrect,1,820
1,YPYZY,164,,,Incorrect,1,826
1,FKDKF,223,,,Incorrect,1,888
1,RPRPR,113,,,Incorrect,1,888
1,VRVKV,161,,,Incorrect,1,722
1,RFRPR,162,,,Incorrect,1,944
1,KVKVK,151,,,Incorrect,1,887
1,YKYVY,161,,,Incorrect,1,837
1,VDVDV,8,[16],[524],Incorrect,1,653
1,DVZVZ,221,,,Incorrect,1,878
1,YFYFY,113,,,Incorrect,1,766
1,ZYZYZ,152,,,Incorrect,1,847
1,VLVXV,161,,,Incorrect,1,854
1,DPXZX,231,,,Incorrect,1,930
1,RYRYR,113,,,Incorrect,1,855
1,PDPNP,91,[16],[519],Incorrect,1,712
1,KXKXK,13,,,Incorrect,1,910
1,ZYZYZ,152,,,Incorrect,1,863
1,VKVKV,153,,,Incorrect,1,657
1,YZYZY,154,,,Incorrect,1,677
1,NLNZN,161,,,Incorrect,1,665
1,ZNDYZ,233,16,450,Incorrect,1,852
1,PCPXP,222,,,Incorrect,1,677
1,ZVZFZ,162,,,Incorrect,1,752
1,RCRZR,163,,,Incorrect,1,689
1,LRLRL,151,,,Incorrect,1,655
1,ZDZDZ,10,[16],[506],Incorrect,1,737
1,RNRZR,14,,,Incorrect,1,695
1,CXCYC,162,,,Incorrect,1,800
1,RCRLR,163,,,Incorrect,1,844
1,FRFRF,151,,,Incorrect,1,826
1,XFXFX,152,,,Incorrect,1,896
1,RPRLR,161,,,Incorrect,1,747
1,YXYRY,162,,,Incorrect,1,902
1,FYFYF,151,,,Incorrect,1,670
1,YZYVY,161,,,Incorrect,1,758
1,YKYKY,151,,,Incorrect,1,806
1,XRXRX,152,,,Incorrect,1,761
1,XVXZX,161,,,Incorrect,1,880
1,PDPDP,11,[16],[603],Incorrect,1,844
1,ZFZFZ,13,,,Incorrect,1,657
1,PXPXP,152,,,Incorrect,1,938
1,LYLYL,153,,,Incorrect,1,761
1,NKNKD,225,,,Incorrect,1,805
1,ZNZNZ,113,,,Incorrect,1,881
1,PYPZP,161,,,Incorrect,1,854
1,XPXPX,151,,,Incorrect,1,926
1,VLVLV,152,,,Incorrect,1,736
1,PKPXP,161,,,Incorrect,1,860
1,FZFZF,151,,,Incorrect,1,827
1,LDLDL,12,[16],[553],Incorrect,1,899
2,U,5,3,567,New Target,2,940
2,ZVZFZ,161,2,1253,Correct,2,764
2,FZFZF,151,1,918,Correct,2,935
2,RFRFR,152,1,909,Correct,2,742
2,NZNKN,161,2,771,Correct,2,725
2,FZFNF,162,2,681,Correct,2,903
2,RXRXR,151,1,873,Correct,2,729
2,KRKYK,161,2,701,Correct,2,900
2,NZNPN,162,2,693,Correct,2,928
2,XPXPX,151,1,691,Correct,2,766
2,CUCUC,7,[1][3],[683][907],Correct,2,725
2,RFRFR,13,1,802,Correct,2,887
2,VYVXV,161,2,748,Correct,2,740
2,VDVDV,191,1,729,Correct,2,755
2,ZKZRZ,15,2,712,Correct,2,772
2,XCXCX,151,1,594,Correct,2,846
2,CNCUC,82,[2][3],[707][899],Correct,2,741
2,RCRCR,13,1,618,Correct,2,738
2,ZPZXZ,161,2,718,Correct,2,679
2,FKFYF,162,2,957,Correct,2,706
2,ZFZYZ,163,2,768,Correct,2,804
2,PXPXP,151,1,676,Correct,2,944
2,URCKC,231,2,574,Correct,2,876
2,PCPCP,113,1,723,Correct,2,715
2,XNXNX,152,1,757,Correct,2,654
2,RCRZR,161,2,761,Correct,2,898
2,XVXVX,151,1,759,Correct,2,699
2,NRNRN,152,2,542,Incorrect,2,875
2,FPFPF,225,1,687,Correct,2,894
2,XVXFX,222,2,699,Correct,2,792
2,PRPRP,151,1,843,Correct,2,750
2,FYFCF,161,2,726,Correct,2,767
2,XUXFX,91,[2][3],[876][1068],Correct,2,922
2,CYCVC,14,2,861,Correct,2,669
2,VDVKV,172,2,774,Correct,2,723
2,YCYCY,15,1,621,Correct,2,856
2,NKNLN,161,2,704,Correct,2,723
2,XPUKX,233,2,783,Correct,2,790
2,ZPZPZ,113,1,839,Correct,2,910
2,KRKRK,152,1,690,Correct,2,727
2,XKXKX,153,1,881,Correct,2,778
2,YUYVY,101,[2][3],[1009][1217],Correct,2,898
2,XKXFU,235,2,910,Correct,2,713
2,NFNFN,113,1,628,Correct,2,718
2,KDKDK,193,1,657,Correct,2,846
2,XYXKX,16,2,748,Correct,2,917
2,YZUZY,223,1,676,Correct,2,853
2,KFKVK,222,2,676,Correct,2,774
2,LYLYL,151,1,692,Correct,2,738
2,CXCDC,184,2,755,Incorrect,2,731
2,XZXNX,16,2,815,Correct,2,726
2,PXPXP,151,1,589,Correct,2,729
2,ZRZYZ,161,2,721,Correct,2,694
2,PUPYP,111,[2][3],[798][1006],Correct,2,674
2,RNRNR,14,1,666,Correct,2,872
2,KDKDK,195,1,550,Correct,2,827
2,KNKNK,15,1,538,Correct,2,779
2,PRPKP,161,2,712,Correct,2,925
