Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1112,Correct,0,709
1,DLDUD,16,2,798,Correct,0,929
1,PDPGP,16,2,820,Correct,0,823
1,MWMWM,15,1,645,Correct,0,932
1,FTFTF,15,1,546,Correct,0,795
1,AXAMA,16,2,693,Correct,0,665
1,RYRGR,16,2,602,Correct,0,873
1,DODOD,15,1,533,Correct,0,879
1,QTQAQ,16,2,644,Correct,0,826
1,YEYEY,15,1,676,Correct,0,682
2,GYGDG,16,2,715,Correct,0,843
2,SWSWS,15,1,742,Correct,0,781
2,HLHUH,16,2,663,Correct,0,950
2,DEDED,15,1,530,Correct,0,784
2,ZPZOZ,16,2,616,Correct,0,663
2,ATATA,15,1,519,Correct,0,788
2,QOQOQ,15,1,554,Correct,0,727
2,FPFGF,16,2,654,Correct,0,714
2,TRTET,16,2,774,Correct,0,853
2,DQDQD,15,1,974,Correct,0,750
AT Practice
1,TKTKT,15,1,863,Correct,0,852
1,SLSUS,16,2,785,Correct,0,838
1,VZVGV,7,1,995,False,0,881
1,XWXZX,7,3,864,Correct,0,785
1,ATATA,15,1,873,Correct,0,684
1,HXZMH,16,2,1180,Correct,0,723
1,TZTZT,7,3,656,Correct,0,866
1,UOUOU,15,1,744,Correct,0,935
1,ZTWAW,16,2,790,Correct,0,691
1,RZRER,7,3,910,Correct,0,740
2,JYJDJ,16,2,1209,Correct,0,705
2,DWDWD,15,1,819,Correct,0,657
2,GNGNG,7,3,795,Correct,0,672
2,NEZEZ,16,1,1106,Correct,0,840
2,RNROR,7,3,975,Correct,0,748
2,QTQNQ,7,3,837,Correct,0,661
2,HOHON,15,1,1112,Correct,0,799
2,KPKGK,16,2,1250,Correct,0,876
2,DRDED,16,2,1140,Correct,0,779
2,LNLNL,7,3,702,Correct,0,756
4,GLGLG,15,2,1178,False,0,883
4,DTDID,16,2,1253,Correct,0,669
4,SMSGS,16,,,False,0,947
4,ZFZYZ,7,3,940,Correct,0,780
4,TSTFT,7,3,1070,Correct,0,727
4,OFOFO,7,1,939,False,0,720
4,WYFGW,16,2,1167,Correct,0,738
4,WYWYW,15,1,1322,Correct,0,699
4,MFMCM,7,3,805,Correct,0,914
4,HQHEH,16,2,990,Correct,0,666
1,TKTKT,15,1,1000,Correct,0,730
1,SLSUS,16,2,989,Correct,0,669
1,VZVGV,7,3,776,Correct,0,881
1,XWXZX,7,3,910,Correct,0,859
1,ATATA,15,1,974,Correct,0,901
1,HXZMH,16,2,1118,Correct,0,745
1,TZTZT,7,3,1016,Correct,0,785
1,UOUOU,15,1,890,Correct,0,665
1,ZTWAW,16,2,1367,Correct,0,898
1,RZRER,7,3,882,Correct,0,922
Trials
1,D,5,3,112286,New Target,1,834
1,BNBYB,161,,,Incorrect,1,729
1,FBFBF,151,1,1377,Correct,1,891
1,RKRKR,152,1,868,Correct,1,826
1,QSQNQ,161,2,926,Correct,1,680
1,CTCFC,162,2,945,Correct,1,868
1,PDPDP,7,3,697,Correct,1,706
1,OPOFO,14,2,1315,Correct,1,928
1,HLHNH,162,2,1053,Correct,1,678
1,MFMFM,151,1,926,Correct,1,767
1,BTBTB,152,1,1044,Correct,1,819
1,MCMPD,235,2,770,Correct,1,897
1,BMBFB,222,2,1023,Correct,1,788
1,NTNZN,162,2,900,Correct,1,718
1,MXMRM,163,2,894,Correct,1,664
1,APABA,164,2,1153,Correct,1,892
1,FMDMF,223,1,1148,Correct,1,786
1,QPQPQ,113,1,1031,Correct,1,822
1,VQVMV,161,2,940,Correct,1,692
1,RERPR,162,2,988,Correct,1,939
1,KVKVK,151,1,827,Correct,1,801
1,AKAHA,161,2,934,Correct,1,730
1,VDVDV,8,3,858,Correct,1,832
1,DUGUG,221,1,1108,Correct,1,651
1,AFAFA,113,1,801,Correct,1,819
1,GYGYG,152,1,761,Correct,1,805
1,VXVSV,161,2,739,Correct,1,809
1,DOWGW,231,2,1006,Correct,1,871
1,QYQYQ,113,1,727,Correct,1,950
1,ODONO,91,3,692,Correct,1,849
1,MSMSM,13,1,689,Correct,1,831
1,GYGYG,152,1,797,Correct,1,895
1,UMUMU,153,1,770,Correct,1,933
1,BZBZB,154,1,847,Correct,1,759
1,NTNBN,161,2,866,Correct,1,902
1,GNDYG,233,2,932,Correct,1,942
1,OCOSO,222,2,967,Correct,1,872
1,BHBFB,162,2,999,Correct,1,867
1,QCQBQ,163,2,709,Correct,1,895
1,LQLQL,151,1,963,Correct,1,788
1,ZDZDZ,10,3,835,Correct,1,848
1,QNQZQ,14,2,873,Correct,1,825
1,CSCYC,162,2,852,Correct,1,742
1,RCRLR,163,2,1122,Correct,1,650
1,FRFRF,151,1,850,Correct,1,724
1,WFWFW,152,1,648,Correct,1,816
1,QOQLQ,161,2,809,Correct,1,775
1,AWAQA,162,2,861,Correct,1,902
1,EAEAE,151,1,709,Correct,1,815
1,AGAUA,161,2,647,Correct,1,680
1,YMYMY,151,1,664,Correct,1,844
1,XQXQX,152,1,777,Correct,1,736
1,SHSGS,161,2,788,Correct,1,786
1,PDPDP,11,1,669,Incorrect,1,854
1,ZGZGZ,13,1,862,Correct,1,663
1,OXOXO,152,1,776,Correct,1,728
1,LYLYL,153,1,994,Correct,1,822
1,NKNKD,225,1,1326,Correct,1,947
1,GNGNG,113,1,785,Correct,1,876
1,OYOBO,161,2,968,Correct,1,882
1,SOSOS,151,1,823,Correct,1,891
1,VHVHV,152,1,1026,Correct,1,763
1,OKOXO,161,2,1024,Correct,1,845
1,EZEZE,151,1,839,Correct,1,676
1,LDLDL,12,3,1040,Correct,1,832
2,U,5,3,1571,New Target,2,733
2,BVBEB,161,2,1022,Correct,2,653
2,FBFBF,151,1,861,Correct,2,836
2,RFRFR,152,1,817,Correct,2,865
2,NBNKN,161,2,840,Correct,2,886
2,MKMNM,162,2,942,Correct,2,777
2,QXQXQ,151,1,817,Correct,2,851
2,MQMYM,161,2,788,Correct,2,935
2,TGTPT,162,2,800,Correct,2,726
2,XOXOX,151,1,571,Correct,2,804
2,CUCUC,7,3,814,Correct,2,807
2,RFRFR,13,1,644,Correct,2,895
2,VYVSV,161,2,833,Correct,2,888
2,VDVDV,191,1,668,Correct,2,774
2,GKGQG,15,2,680,Correct,2,876
2,SCSCS,151,1,770,Correct,2,930
2,CTCUC,82,3,702,Correct,2,796
2,RCRCR,13,1,700,Correct,2,765
2,BOBXB,161,2,781,Correct,2,672
2,FMFAF,162,2,879,Correct,2,676
2,BEBAB,163,2,931,Correct,2,896
2,PWPWP,151,1,786,Correct,2,944
2,UQCKC,231,2,968,Correct,2,946
2,OCOCO,113,1,793,Correct,2,826
2,TNTNT,152,1,669,Correct,2,943
2,QCQGQ,161,1,634,Incorrect,2,873
2,WVWVW,151,1,718,Correct,2,773
2,TQTQT,152,1,856,Correct,2,769
2,FOFOF,225,1,737,Correct,2,767
2,WVWFW,222,2,1208,Correct,2,909
2,SWSWS,151,1,798,Correct,2,854
2,FYFCF,161,2,854,Correct,2,868
2,SUSWS,91,2,1021,Incorrect,2,862
2,CACHC,14,2,1007,Correct,2,761
2,VDVKV,172,2,994,Correct,2,834
2,YCYCY,15,1,785,Correct,2,879
2,NMNTN,161,2,766,Correct,2,756
2,XOUKX,233,2,1128,Correct,2,779
2,BPBPB,113,1,934,Correct,2,801
2,MRMRM,152,1,813,Correct,2,776
2,XMXMX,153,1,1028,Correct,2,841
2,AUAHA,101,3,648,Correct,2,778
2,XKXEU,235,2,1079,Correct,2,777
2,TFTFT,113,1,934,Correct,2,774
2,MDMDM,193,1,758,Correct,2,907
2,WYWMW,16,2,981,Correct,2,788
2,AZUZA,223,1,1335,Correct,2,766
2,KEKHK,222,2,1065,Correct,2,911
2,LALAL,151,1,679,Correct,2,822
2,CWCDC,184,2,1092,Incorrect,2,782
2,SGSTS,16,2,915,Correct,2,820
2,PXPXP,151,1,922,Correct,2,734
2,GRGYG,161,2,927,Correct,2,728
2,PUPOP,111,3,644,Correct,2,768
2,RNRNR,14,1,752,Correct,2,907
2,KDKDK,195,1,799,Correct,2,720
2,KTKTK,15,1,805,Correct,2,947
2,OROKO,161,2,1152,Correct,2,726
2,UNANA,221,1,1113,Correct,2,896
2,TATAT,113,1,969,Correct,2,738
2,AWAWA,152,1,1002,Incorrect,2,799
2,RDRDR,196,1,912,Correct,2,733
2,FCFCF,15,1,710,Correct,2,808
2,ZMZMZ,152,1,730,Correct,2,672
2,BUBUB,12,3,1033,Correct,2,798
3,E,5,3,2609,New Target,3,713
3,YZYZY,151,1,740,Correct,3,843
3,VFVNV,161,2,812,Correct,3,946
3,KAKAK,151,1,729,Correct,3,692
3,TKTKT,152,1,585,Correct,3,711
3,WHWTW,161,2,838,Correct,3,913
3,QEQFQ,71,3,1042,Correct,3,690
