Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1551,Correct,0,882
1,DLDUD,16,2,980,Correct,0,926
1,PDPGP,16,2,932,Correct,0,793
1,MWMWM,15,1,870,Correct,0,746
1,FTFTF,15,1,619,Correct,0,736
1,AXAMA,16,2,738,Correct,0,947
1,RYRGR,16,2,601,Correct,0,784
1,DODOD,15,1,682,Correct,0,734
1,QTQAQ,16,2,644,Correct,0,860
1,YEYEY,15,1,716,Correct,0,922
2,GYGDG,16,2,771,Correct,0,718
2,SWSWS,15,1,476,Correct,0,736
2,HLHUH,16,2,732,Correct,0,928
2,DEDED,15,1,580,Correct,0,809
2,ZPZOZ,16,2,803,Correct,0,750
2,ATATA,15,1,495,Correct,0,676
2,QOQOQ,15,1,765,Correct,0,916
2,FPFGF,16,2,674,Correct,0,803
2,TRTET,16,2,663,Correct,0,928
2,DQDQD,15,1,803,Correct,0,810
4,PLPLP,15,1,628,Correct,0,850
4,ATAIA,16,2,765,Correct,0,915
4,SKSGS,16,2,771,Correct,0,868
4,ZYZYZ,15,1,524,Correct,0,703
4,QSQSQ,15,1,556,Correct,0,878
4,TZTDT,16,2,633,Correct,0,798
4,JYJGJ,16,2,695,Correct,0,738
4,DYDYD,15,1,535,Correct,0,655
4,LTLCL,16,2,746,Correct,0,690
4,FQFEF,16,2,561,Correct,0,801
DT Practice
1,TKTKT,15,,,False,0,914
1,SLSUS,16,,,False,0,774
1,VZVGV,7,,,False,0,940
1,XWXZX,7,,,False,0,749
1,ATATA,15,,,False,0,697
1,HXZMH,16,,,False,0,861
1,TZTZT,7,,,False,0,685
1,UOUOU,15,,,False,0,777
1,ZTWAW,16,,,False,0,770
1,RZRER,7,,,False,0,713
2,JYJDJ,16,2,1422,Correct,0,805
2,DWDWD,15,2,797,False,0,708
2,GNGNG,7,[2],[1536],False,0,760
2,NEZEZ,16,2,1308,False,0,690
2,RNROR,7,,,False,0,747
2,QTQNQ,7,[2],[1364],False,0,826
2,HOHON,15,1,1171,Correct,0,769
2,KPKGK,16,2,944,Correct,0,674
2,DRDED,16,2,1003,Correct,0,900
2,LNLNL,7,[1][3],[893][1165],Correct,0,658
4,GLGLG,15,1,1110,Correct,0,843
4,DTDID,16,2,897,Correct,0,744
4,SMSGS,16,2,711,Correct,0,668
4,ZFZYZ,7,[2][3],[1204][1412],Correct,0,822
4,TSTFT,7,[2][3],[1063][1303],Correct,0,778
4,OFOFO,7,[1][3],[895][1119],Correct,0,846
4,WYFGW,16,2,874,Correct,0,699
4,WYWYW,15,1,1224,Correct,0,942
4,MFMCM,7,[2][3],[1142][1318],Correct,0,884
4,HQHEH,16,2,1145,Correct,0,750
1,TKTKT,15,1,990,Correct,0,937
1,SLSUS,16,2,705,Correct,0,748
1,VZVGV,7,[2][3],[1202][1378],Correct,0,915
1,XWXZX,7,[2][3],[992][1184],Correct,0,813
1,ATATA,15,1,824,Correct,0,931
1,HXZMH,16,2,720,Correct,0,703
1,TZTZT,7,[1][3],[622][1006],Correct,0,822
1,UOUOU,15,2,585,False,0,944
1,ZTWAW,16,2,796,Correct,0,713
1,RZRER,7,[2][3],[1084][1244],Correct,0,728
Trials
1,D,5,3,1623,New Target,1,738
1,ZNZYZ,161,2,1568,Correct,1,677
1,FZFZF,151,1,895,Correct,1,714
1,RKRKR,152,1,728,Correct,1,731
1,RXRNR,161,2,830,Correct,1,940
1,CNCFC,162,2,860,Correct,1,650
1,PDPDP,7,[1][3],[1083][1307],Correct,1,806
1,CPCFC,14,2,655,Correct,1,847
1,VLVNV,162,2,736,Correct,1,794
1,KFKFK,151,2,618,Incorrect,1,869
1,ZNZNZ,152,1,1445,Correct,1,926
1,KCKPD,235,2,867,Correct,1,833
1,ZKZFZ,222,2,761,Correct,1,863
1,NRNZN,162,2,787,Correct,1,808
1,KXKRK,163,2,659,Correct,1,658
1,YPYZY,164,2,628,Correct,1,720
1,FKDKF,223,1,1042,Correct,1,901
1,RPRPR,113,1,926,Correct,1,888
1,VRVKV,161,2,617,Correct,1,687
1,RFRPR,162,2,670,Correct,1,660
1,KVKVK,151,1,755,Correct,1,669
1,YKYVY,161,2,746,Correct,1,943
1,VDVDV,8,[1][3],[618][810],Correct,1,823
1,DVZVZ,221,2,515,Incorrect,1,924
1,YFYFY,113,1,700,Correct,1,674
1,ZYZYZ,152,1,648,Correct,1,861
1,VLVXV,161,2,632,Correct,1,748
1,DPXZX,231,2,641,Correct,1,943
1,RYRYR,113,1,576,Correct,1,822
1,PDPNP,91,[1][3],[802][994],Incorrect,1,650
1,KXKXK,13,1,890,Correct,1,654
1,ZYZYZ,152,1,657,Correct,1,757
1,VKVKV,153,1,647,Correct,1,674
1,YZYZY,154,1,997,Correct,1,831
1,NLNZN,161,2,966,Correct,1,803
1,ZNDYZ,233,2,806,Correct,1,845
1,PCPXP,222,2,627,Correct,1,731
1,ZVZFZ,162,2,597,Correct,1,729
1,RCRZR,163,2,532,Correct,1,853
1,LRLRL,151,1,658,Correct,1,935
1,ZDZDZ,10,[2],[919],Incorrect,1,780
1,RNRZR,14,2,694,Correct,1,698
1,CXCYC,162,2,775,Correct,1,730
1,RCRLR,163,2,606,Correct,1,865
1,FRFRF,151,1,751,Correct,1,820
1,XFXFX,152,1,670,Correct,1,742
1,RPRLR,161,2,797,Correct,1,776
1,YXYRY,162,2,713,Correct,1,778
1,FYFYF,151,1,643,Correct,1,830
1,YZYVY,161,2,613,Correct,1,674
1,YKYKY,151,1,536,Correct,1,743
1,XRXRX,152,1,702,Correct,1,693
1,XVXZX,161,2,668,Correct,1,756
1,PDPDP,11,[1][3],[803][1299],Correct,1,688
1,ZFZFZ,13,1,960,Correct,1,788
1,PXPXP,152,1,723,Correct,1,804
1,LYLYL,153,1,590,Correct,1,817
1,NKNKD,225,1,588,Correct,1,876
1,ZNZNZ,113,1,553,Correct,1,918
1,PYPZP,161,2,760,Correct,1,893
1,XPXPX,151,2,617,Incorrect,1,696
1,VLVLV,152,1,571,Correct,1,760
1,PKPXP,161,2,803,Correct,1,687
1,FZFZF,151,1,778,Correct,1,879
1,LDLDL,12,[1][3],[817][1041],Correct,1,930
2,U,5,3,1283,New Target,2,776
2,ZVZFZ,161,2,819,Correct,2,698
2,FZFZF,151,1,700,Correct,2,827
2,RFRFR,152,1,925,Correct,2,729
2,NZNKN,161,2,834,Correct,2,740
2,FZFNF,162,2,607,Correct,2,728
2,RXRXR,151,2,517,Incorrect,2,669
2,KRKYK,161,2,665,Correct,2,772
2,NZNPN,162,2,759,Correct,2,850
2,XPXPX,151,1,838,Correct,2,715
2,CUCUC,7,[1][3],[1154][1330],Correct,2,856
2,RFRFR,13,1,735,Correct,2,660
2,VYVXV,161,2,685,Correct,2,803
2,VDVDV,191,1,599,Correct,2,798
2,ZKZRZ,15,2,617,Correct,2,755
2,XCXCX,151,1,602,Correct,2,783
2,CNCUC,82,[2][1],[587][1227],Incorrect,2,784
2,RCRCR,13,1,732,Correct,2,833
2,ZPZXZ,161,2,781,Correct,2,700
2,FKFYF,162,2,780,Correct,2,678
2,ZFZYZ,163,2,656,Correct,2,947
2,PXPXP,151,1,653,Correct,2,906
2,URCKC,231,2,560,Correct,2,674
2,PCPCP,113,1,701,Correct,2,942
2,XNXNX,152,1,622,Correct,2,656
2,RCRZR,161,2,499,Correct,2,653
2,XVXVX,151,1,568,Correct,2,794
2,NRNRN,152,1,608,Correct,2,698
2,FPFPF,225,1,550,Correct,2,679
2,XVXFX,222,2,557,Correct,2,668
2,PRPRP,151,1,559,Correct,2,851
2,FYFCF,161,2,591,Correct,2,843
2,XUXFX,91,[2][3],[899][1074],Correct,2,802
2,CYCVC,14,2,847,Correct,2,666
2,VDVKV,172,2,568,Correct,2,734
2,YCYCY,15,1,774,Correct,2,906
2,NKNLN,161,2,542,Correct,2,819
2,XPUKX,233,2,556,Correct,2,887
2,ZPZPZ,113,1,562,Correct,2,719
2,KRKRK,152,1,693,Correct,2,814
2,XKXKX,153,2,767,Incorrect,2,920
2,YUYVY,101,[2][3],[1329][1505],Correct,2,765
2,XKXFU,235,2,678,Correct,2,728
2,NFNFN,113,1,563,Correct,2,825
2,KDKDK,193,1,628,Correct,2,861
2,XYXKX,16,2,481,Correct,2,914
2,YZUZY,223,2,614,Incorrect,2,866
2,KFKVK,222,2,594,Correct,2,869
2,LYLYL,151,1,650,Correct,2,653
2,CXCDC,184,2,636,Incorrect,2,656
2,XZXNX,16,2,703,Correct,2,729
2,PXPXP,151,1,666,Correct,2,906
2,ZRZYZ,161,2,580,Correct,2,884
2,PUPYP,111,[2][3],[851][1059],Correct,2,929
2,RNRNR,14,1,439,Correct,2,858
2,KDKDK,195,1,687,Correct,2,811
2,KNKNK,15,1,680,Correct,2,902
