Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,822,Correct,0,780
1,DLDUD,16,2,803,Correct,0,944
1,PDPGP,16,2,911,Correct,0,885
1,MWMWM,15,1,837,Correct,0,718
1,FTFTF,15,1,729,Correct,0,802
1,AXAMA,16,2,779,Correct,0,794
1,RYRGR,16,2,892,Correct,0,923
1,DODOD,15,1,805,Correct,0,746
1,QTQAQ,16,2,782,Correct,0,856
1,YEYEY,15,1,802,Correct,0,690
2,GYGDG,16,2,741,Correct,0,723
2,SWSWS,15,1,784,Correct,0,786
2,HLHUH,16,2,807,Correct,0,748
2,DEDED,15,1,1270,Correct,0,739
2,ZPZOZ,16,2,776,Correct,0,817
2,ATATA,15,1,676,Correct,0,824
2,QOQOQ,15,1,865,Correct,0,915
2,FPFGF,16,2,949,Correct,0,801
2,TRTET,16,2,691,Correct,0,897
2,DQDQD,15,2,771,False,0,754
4,PLPLP,15,1,715,Correct,0,737
4,ATAIA,16,2,709,Correct,0,883
4,SKSGS,16,2,696,Correct,0,722
4,ZYZYZ,15,1,809,Correct,0,790
4,QSQSQ,15,1,1058,Correct,0,835
4,TZTDT,16,2,860,Correct,0,918
4,JYJGJ,16,2,1126,Correct,0,841
4,DYDYD,15,1,680,Correct,0,802
4,LTLCL,16,2,937,Correct,0,736
4,FQFEF,16,2,868,Correct,0,654
DT Practice
1,TKTKT,15,1,791,Correct,0,704
1,SLSUS,16,2,741,Correct,0,756
1,VBVGV,7,[2][3],[1030][1190],Correct,0,854
1,XWXBX,7,[2][3],[830][1006],Correct,0,804
1,ATATA,15,1,707,Correct,0,873
1,HXBMH,16,2,1219,Correct,0,731
1,TBTBT,7,[1][3],[748][924],Correct,0,751
1,UOUOU,15,1,955,Correct,0,742
1,BTWAW,16,2,961,Correct,0,831
1,RBRER,7,[2],[951],False,0,650
2,JYJDJ,16,,,False,0,766
2,DWDWD,15,1,692,Correct,0,879
2,GBGBG,7,[2][3],[1059][1203],False,0,936
2,BEZEZ,16,1,1053,Correct,0,923
2,RBROR,7,[2][3],[986][1146],Correct,0,794
2,QTQBQ,7,[2][3],[1072][1232],Correct,0,722
2,HOHOB,15,1,1115,Correct,0,656
2,KPKGK,16,2,1038,Correct,0,777
2,DRDED,16,2,839,Correct,0,909
2,LBLBL,7,[1][3],[727][983],Correct,0,685
4,GLGLG,15,2,733,False,0,687
4,DTDID,16,1,676,False,0,805
4,SKSGS,16,,,False,0,923
4,ZBZYZ,7,[2][3],[1113][1256],Correct,0,654
4,TSTBT,7,[2][3],[1296][1456],Correct,0,782
4,OBOBO,7,[1][3],[1148][1324],Correct,0,893
4,WYBGW,16,2,1322,Correct,0,836
4,FYFYF,15,,,False,0,734
4,MBMCM,7,[2][3],[1120][1248],Correct,0,817
4,HQHEH,16,2,866,Correct,0,788
