Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,923
1,DLDUD,16,,,False,0,869
1,PDPGP,16,2,1283,Correct,0,926
1,MWMWM,15,,,False,0,920
1,FTFTF,15,1,810,Correct,0,739
1,AXAMA,16,2,1267,Correct,0,682
1,RYRGR,16,2,1097,Correct,0,725
1,DODOD,15,1,769,Correct,0,854
1,QTQAQ,16,2,744,Correct,0,746
1,YEYEY,15,1,834,Correct,0,756
2,GYGDG,16,2,804,Correct,0,861
2,SWSWS,15,1,633,Correct,0,822
2,HLHUH,16,2,852,Correct,0,767
2,DEDED,15,1,787,Correct,0,910
2,ZPZOZ,16,2,726,Correct,0,876
2,ATATA,15,1,601,Correct,0,924
2,QOQOQ,15,1,652,Correct,0,700
2,FPFGF,16,2,916,Correct,0,856
2,TRTET,16,2,740,Correct,0,812
2,DQDQD,15,1,840,Correct,0,944
4,PLPLP,15,1,712,Correct,0,711
4,ATAIA,16,2,756,Correct,0,747
4,SKSGS,16,2,695,Correct,0,892
4,ZYZYZ,15,1,578,Correct,0,701
4,QSQSQ,15,1,576,Correct,0,797
4,TZTDT,16,2,812,Correct,0,910
4,JYJGJ,16,2,742,Correct,0,669
4,DYDYD,15,1,521,Correct,0,945
4,LTLCL,16,2,833,Correct,0,657
4,FQFEF,16,2,776,Correct,0,813
1,SKSKS,15,1,796,Correct,0,666
1,DLDUD,16,2,672,Correct,0,938
1,PDPGP,16,2,774,Correct,0,840
1,MWMWM,15,1,988,Correct,0,803
1,FTFTF,15,1,729,Correct,0,924
1,AXAMA,16,2,658,Correct,0,730
1,RYRGR,16,2,602,Correct,0,897
1,DODOD,15,1,547,Correct,0,916
1,QTQAQ,16,2,517,Correct,0,746
1,YEYEY,15,1,675,Correct,0,852
DT Practice
1,TKTKT,15,2,1109,False,0,710
1,SLSUS,16,2,1182,Correct,0,723
1,VZVGV,7,[2],[1297],False,0,742
1,XWXZX,7,[2],[1201],False,0,721
1,ATATA,15,1,903,Correct,0,939
1,HXZMH,16,2,1084,Correct,0,686
1,TZTZT,7,[1][3],[891][1211],Correct,0,893
1,UOUOU,15,1,1023,Correct,0,872
1,ZTWAW,16,2,1188,Correct,0,656
1,RZRER,7,[2][3],[1218][1458],Correct,0,709
2,JYJDJ,16,2,943,Correct,0,686
2,DWDWD,15,1,986,Correct,0,918
2,GNGNG,7,[1][3],[685][1005],Correct,0,869
2,NEZEZ,16,1,1049,Correct,0,866
2,RNROR,7,[2][3],[1276][1564],Correct,0,781
2,QTQNQ,7,[2],[1334],False,0,842
2,HOHON,15,1,936,Correct,0,751
2,KPKGK,16,2,1082,Correct,0,740
2,DRDED,16,2,1188,Correct,0,802
2,LNLNL,7,[1][3],[863][1135],Correct,0,751
4,GLGLG,15,1,724,Correct,0,949
4,DTDID,16,2,832,Correct,0,724
4,SMSGS,16,2,918,Correct,0,795
4,ZFZYZ,7,[2][3],[1061][1317],Correct,0,810
4,TSTFT,7,[2][3],[980][1220],Correct,0,870
4,OFOFO,7,[1][3],[603][907],Correct,0,845
4,WYFGW,16,2,1112,Correct,0,831
4,WYWYW,15,3,1006,False,0,893
4,MFMCM,7,[2],[1528],False,0,859
4,HQHEH,16,2,907,Correct,0,879
Trials
1,D,5,3,16257,New Target,1,943
1,ZNZYZ,161,2,999,Correct,1,890
1,FZFZF,151,1,726,Correct,1,879
1,RKRKR,152,1,771,Correct,1,777
1,RXRNR,161,2,769,Correct,1,704
1,CNCFC,162,2,879,Correct,1,658
1,PDPDP,7,[1][3],[755][1059],Correct,1,896
1,CPCFC,14,2,1118,Correct,1,739
1,VLVNV,162,2,974,Correct,1,763
1,KFKFK,151,1,852,Correct,1,730
1,ZNZNZ,152,1,887,Correct,1,909
1,KCKPD,235,2,968,Correct,1,924
1,ZKZFZ,222,2,779,Correct,1,804
1,NRNZN,162,2,744,Correct,1,799
1,KXKRK,163,2,630,Correct,1,721
1,YPYZY,164,2,562,Correct,1,876
1,FKDKF,223,1,623,Correct,1,938
1,RPRPR,113,1,759,Correct,1,664
1,VRVKV,161,2,717,Correct,1,912
1,RFRPR,162,2,699,Correct,1,742
1,KVKVK,151,1,767,Correct,1,671
1,YKYVY,161,2,614,Correct,1,802
1,VDVDV,8,[1][3],[753][945],Correct,1,693
1,DVZVZ,221,1,967,Correct,1,921
1,YFYFY,113,1,829,Correct,1,752
1,ZYZYZ,152,1,730,Correct,1,701
1,VLVXV,161,2,743,Correct,1,806
1,DPXZX,231,2,742,Correct,1,727
1,RYRYR,113,1,890,Correct,1,679
1,PDPNP,91,[2][3],[1152][1360],Correct,1,776
1,KXKXK,13,1,1072,Correct,1,739
1,ZYZYZ,152,1,541,Correct,1,779
1,VKVKV,153,1,797,Correct,1,865
1,YZYZY,154,1,570,Correct,1,670
1,NLNZN,161,2,751,Correct,1,740
1,ZNDYZ,233,2,749,Correct,1,708
1,PCPXP,222,2,621,Correct,1,682
1,ZVZFZ,162,2,547,Correct,1,680
1,RCRZR,163,2,572,Correct,1,681
1,LRLRL,151,2,668,Incorrect,1,806
1,ZDZDZ,10,[1][3],[920][1064],Correct,1,829
1,RNRZR,14,2,877,Correct,1,938
1,CXCYC,162,2,848,Correct,1,939
1,RCRLR,163,2,662,Correct,1,852
1,FRFRF,151,1,992,Correct,1,923
1,XFXFX,152,1,769,Correct,1,857
1,RPRLR,161,2,699,Correct,1,895
1,YXYRY,162,2,778,Correct,1,728
1,FYFYF,151,1,764,Correct,1,669
1,YZYVY,161,2,1127,Correct,1,780
1,YKYKY,151,1,632,Correct,1,714
1,XRXRX,152,1,712,Correct,1,761
1,XVXZX,161,2,1048,Correct,1,743
1,PDPDP,11,[1][3],[765][1005],Correct,1,890
1,ZFZFZ,13,1,802,Correct,1,753
1,PXPXP,152,1,759,Correct,1,894
1,LYLYL,153,1,813,Correct,1,928
1,NKNKD,225,1,827,Correct,1,670
1,ZNZNZ,113,1,639,Correct,1,863
1,PYPZP,161,2,788,Correct,1,680
1,XPXPX,151,1,653,Correct,1,826
1,VLVLV,152,1,568,Correct,1,879
1,PKPXP,161,2,1159,Correct,1,918
1,FZFZF,151,1,520,Correct,1,730
1,LDLDL,12,[1][3],[779][971],Correct,1,813
2,U,5,3,6412,New Target,2,853
2,ZVZFZ,161,2,833,Correct,2,910
2,FZFZF,151,1,552,Correct,2,833
2,RFRFR,152,1,753,Correct,2,680
2,NZNKN,161,2,716,Correct,2,820
2,FZFNF,162,2,971,Correct,2,692
2,RXRXR,151,1,984,Correct,2,915
2,KRKYK,161,2,767,Correct,2,697
2,NZNPN,162,2,727,Correct,2,899
2,XPXPX,151,1,660,Correct,2,814
2,CUCUC,7,[1][3],[732][908],Correct,2,817
2,RFRFR,13,1,688,Correct,2,823
2,VYVXV,161,2,833,Correct,2,700
2,VDVDV,191,1,646,Correct,2,908
2,ZKZRZ,15,2,724,Correct,2,847
2,XCXCX,151,1,726,Correct,2,711
2,CNCUC,82,[2][1],[996][1316],Incorrect,2,677
2,RCRCR,13,1,979,Correct,2,786
2,ZPZXZ,161,2,903,Correct,2,760
2,FKFYF,162,2,862,Correct,2,753
2,ZFZYZ,163,2,803,Correct,2,825
2,PXPXP,151,1,652,Correct,2,880
2,URCKC,231,2,1097,Correct,2,918
2,PCPCP,113,1,707,Correct,2,888
2,XNXNX,152,1,1044,Correct,2,763
2,RCRZR,161,2,913,Correct,2,909
2,XVXVX,151,1,903,Correct,2,794
2,NRNRN,152,1,1030,Correct,2,936
2,FPFPF,225,1,663,Correct,2,798
2,XVXFX,222,2,759,Correct,2,745
2,PRPRP,151,1,1103,Correct,2,859
2,FYFCF,161,2,960,Correct,2,697
2,XUXFX,91,,,Incorrect,2,899
2,CYCVC,14,2,1225,Correct,2,683
2,VDVKV,172,2,1044,Correct,2,793
2,YCYCY,15,1,743,Correct,2,690
2,NKNLN,161,2,742,Correct,2,715
2,XPUKX,233,2,962,Correct,2,819
2,ZPZPZ,113,1,1002,Correct,2,702
2,KRKRK,152,1,1321,Correct,2,869
2,XKXKX,153,1,657,Correct,2,795
2,YUYVY,101,[2][3],[1019][1227],Correct,2,867
2,XKXFU,235,2,712,Correct,2,927
2,NFNFN,113,1,752,Correct,2,903
2,KDKDK,193,1,917,Correct,2,931
2,XYXKX,16,2,790,Correct,2,875
2,YZUZY,223,1,1083,Correct,2,907
2,KFKVK,222,2,696,Correct,2,876
2,LYLYL,151,1,671,Correct,2,936
2,CXCDC,184,2,691,Incorrect,2,679
2,XZXNX,16,2,694,Correct,2,653
2,PXPXP,151,1,951,Correct,2,695
2,ZRZYZ,161,2,647,Correct,2,883
2,PUPYP,111,[2][3],[788][948],Correct,2,884
2,RNRNR,14,1,740,Correct,2,696
2,KDKDK,195,1,850,Correct,2,774
