Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1152,Correct,0,658
1,DLDUD,16,2,781,Correct,0,888
1,PDPGP,16,2,928,Correct,0,938
1,MWMWM,15,1,997,Correct,0,826
1,FTFTF,15,2,641,False,0,785
1,AXAMA,16,2,897,Correct,0,683
1,RYRGR,16,2,758,Correct,0,869
1,DODOD,15,1,672,Correct,0,924
1,QTQAQ,16,2,728,Correct,0,811
1,YEYEY,15,1,991,Correct,0,870
AT Practice
1,TKTKT,15,1,629,Correct,0,661
1,SLSUS,16,2,705,Correct,0,938
1,VBVGV,7,1,529,False,0,719
1,XWXBX,7,3,906,Correct,0,782
1,ATATA,15,1,711,Correct,0,678
1,HXBMH,16,3,639,False,0,842
1,TBTBT,7,3,621,Correct,0,931
1,UOUOU,15,1,803,Correct,0,700
1,BTWAW,16,2,1281,Correct,0,903
1,RBRER,7,3,615,Correct,0,803
Trials
1,D,5,3,26490,New Target,1,931
1,BYBYB,151,1,1169,Correct,1,771
1,FBFBF,152,1,1020,Correct,1,872
1,RKRKR,153,1,822,Correct,1,773
1,QSQNQ,161,2,792,Correct,1,652
1,CTCFC,162,2,737,Correct,1,875
1,PDPNP,71,3,688,Correct,1,691
1,OPOFO,14,1,1010,Incorrect,1,893
1,HLHNH,162,2,808,Correct,1,855
1,MFMFM,151,1,734,Correct,1,709
1,BTBTB,152,1,758,Correct,1,684
1,MCMPD,235,2,692,Correct,1,729
1,BMBFB,222,2,653,Correct,1,877
1,NTNZN,162,2,673,Correct,1,653
1,MXMRM,163,2,959,Correct,1,756
1,APABA,164,2,688,Correct,1,846
1,FMDMF,223,2,931,Incorrect,1,767
1,QPQPQ,111,1,749,Correct,1,706
1,VQVMV,161,2,906,Correct,1,867
1,RERPR,162,2,572,Correct,1,708
1,KVKVK,151,1,801,Correct,1,845
1,AKAHA,161,2,668,Correct,1,728
1,VDVDV,8,3,602,Correct,1,778
1,DUGUG,221,1,811,Correct,1,771
1,AFAFA,111,1,641,Correct,1,904
1,GYGYG,152,1,781,Correct,1,842
1,VXVSV,161,2,1000,Correct,1,782
1,DOWGW,231,2,1191,Correct,1,677
1,QYQYQ,111,1,613,Correct,1,705
1,ODONO,91,3,626,Correct,1,655
1,MSMSM,13,1,927,Correct,1,663
1,GYGYG,152,1,787,Correct,1,936
1,UMUMU,153,1,664,Correct,1,874
1,BZBZB,154,1,756,Correct,1,887
1,NTNBN,161,2,708,Correct,1,671
1,GNDYG,233,2,623,Correct,1,653
1,OCOSO,222,2,646,Correct,1,871
1,BHBFB,162,2,825,Correct,1,924
1,QCQBQ,163,2,614,Correct,1,761
1,LQLQL,151,1,730,Correct,1,763
1,ZDZDZ,10,3,620,Correct,1,750
1,QNQZQ,14,2,839,Correct,1,730
1,CSCYC,162,2,558,Correct,1,894
1,RCRLR,163,2,577,Correct,1,776
1,FRFRF,151,1,563,Correct,1,923
1,WFWFW,152,1,614,Correct,1,920
1,QOQLQ,161,2,777,Correct,1,726
1,AWAQA,162,2,775,Correct,1,921
1,EAEAE,151,1,1028,Correct,1,918
1,AGAUA,161,2,597,Correct,1,704
1,YMYMY,151,1,616,Correct,1,799
1,XQXQX,152,1,697,Correct,1,856
1,SHSGS,161,2,589,Correct,1,828
1,PDPDP,11,3,660,Correct,1,842
1,ZGZGZ,13,1,691,Correct,1,861
1,OXOXO,152,1,851,Correct,1,784
1,LYLYL,153,2,670,Incorrect,1,661
1,NKNKD,225,,,Incorrect,1,666
1,GNGNG,111,1,712,Correct,1,659
1,OYOBO,161,2,641,Correct,1,661
1,SOSOS,151,1,660,Correct,1,903
1,VHVHV,152,1,649,Correct,1,807
1,OKOXO,161,2,637,Correct,1,864
1,EZEZE,151,1,705,Correct,1,920
1,LDLDL,12,3,477,Correct,1,859
2,U,5,3,4445,New Target,2,707
2,BVBEB,161,2,681,Correct,2,675
2,FBFBF,151,1,624,Correct,2,755
2,RFRFR,152,1,674,Correct,2,887
2,NBNKN,161,2,631,Correct,2,838
2,MKMNM,162,2,1155,Correct,2,663
2,QXQXQ,151,1,626,Correct,2,735
2,MQMYM,161,2,557,Correct,2,882
2,TGTPT,162,2,527,Correct,2,867
2,XOXOX,151,1,580,Correct,2,741
2,CUCUC,7,3,633,Correct,2,818
2,RFRFR,13,1,619,Correct,2,734
2,VYVSV,161,2,493,Correct,2,721
2,BEBAB,162,2,544,Correct,2,935
2,GKGQG,163,2,550,Correct,2,949
2,SCSCS,151,2,620,Incorrect,2,909
2,CTCUC,82,2,641,Incorrect,2,708
2,RCRCR,13,1,731,Correct,2,941
2,BOBXB,161,2,651,Correct,2,674
2,FMFAF,162,2,734,Correct,2,686
2,VSVDV,181,2,673,Correct,2,802
2,PWPWP,15,1,591,Correct,2,761
2,UQCKC,231,2,782,Correct,2,897
2,OCOCO,151,2,892,Incorrect,2,682
2,TNTNT,152,1,619,Correct,2,758
2,QCQGQ,161,2,716,Correct,2,804
2,WVWVW,151,1,731,Correct,2,798
2,TQTQT,152,1,571,Correct,2,684
2,FOFOF,225,1,522,Correct,2,858
2,WVWFW,161,2,629,Correct,2,671
2,SWSWS,151,1,565,Correct,2,807
2,FYFCF,161,2,670,Correct,2,733
2,SUSWS,91,3,624,Correct,2,755
2,CACHC,14,2,600,Correct,2,676
2,VDVKV,172,2,699,Correct,2,789
2,YCYCY,15,2,686,Incorrect,2,820
2,NMNTN,161,2,875,Correct,2,944
2,XOUKX,233,2,595,Correct,2,777
2,BPBPB,151,1,868,Correct,2,788
2,MRMRM,152,1,689,Correct,2,851
2,XMXMX,153,1,705,Correct,2,827
2,AUAHA,101,3,627,Correct,2,894
2,XKXEU,235,2,685,Correct,2,682
2,TFTFT,151,1,563,Correct,2,686
2,MOMDM,183,2,712,Correct,2,872
2,WYWMW,16,2,705,Correct,2,896
2,AZUZA,223,1,619,Correct,2,941
2,KEKHK,161,2,667,Correct,2,811
2,LALAL,151,3,526,Incorrect,2,746
2,CWCDC,184,2,781,Incorrect,2,688
2,SGSTS,16,2,771,Correct,2,886
2,PXPXP,151,1,756,Correct,2,777
2,GRGYG,161,2,594,Correct,2,936
2,PUPOP,111,3,742,Correct,2,703
2,RNRNR,14,1,761,Correct,2,748
2,MDMDM,195,1,727,Correct,2,949
2,KTKTK,15,1,546,Correct,2,823
2,OROKO,161,2,1023,Correct,2,945
2,UNANA,221,1,1326,Correct,2,918
2,TATAT,151,1,575,Correct,2,662
2,AWAWA,152,1,950,Incorrect,2,712
2,CTCDC,186,2,699,Incorrect,2,817
2,FCFCF,15,1,607,Correct,2,840
2,ZMZMZ,152,1,561,Correct,2,814
2,BUBUB,12,3,659,Correct,2,799
3,E,5,3,5027,New Target,3,694
3,YZYZY,151,1,527,Correct,3,823
3,VFVNV,161,2,693,Correct,3,845
3,KAKAK,151,1,596,Correct,3,904
3,TKTKT,152,1,621,Correct,3,840
3,WHWTW,161,2,620,Correct,3,919
3,QEQFQ,71,1,492,Incorrect,3,784
3,XNXNX,13,1,713,Correct,3,682
3,TXTXT,152,1,656,Correct,3,936
3,GLGNG,161,2,560,Correct,3,916
3,CUCTC,171,2,856,Correct,3,701
3,FAFQF,16,2,725,Correct,3,769
3,ZLZLZ,151,1,915,Correct,3,700
3,YZYZY,152,1,562,Correct,3,893
3,CYCYC,153,1,671,Correct,3,676
3,HUHUH,192,1,637,Correct,3,840
3,OSORO,16,2,872,Correct,3,893
3,YOYOY,151,1,560,Correct,3,737
3,CECEC,8,3,713,Correct,3,738
3,VNENV,223,1,1137,Correct,3,742
3,KQKFK,222,2,632,Correct,3,696
3,XLXLE,225,1,722,Correct,3,772
3,QUQUQ,193,1,586,Correct,3,919
3,SWSLS,16,2,516,Correct,3,744
3,NBNPN,162,2,807,Correct,3,894
3,SGSGS,151,2,758,Incorrect,3,906
3,FBFBF,152,1,645,Correct,3,690
3,PFPFP,153,1,556,Correct,3,724
3,AGASA,161,2,903,Correct,3,653
3,KEKEK,9,3,788,Correct,3,737
3,CWCOC,14,2,660,Correct,3,825
3,HXHXH,151,1,654,Correct,3,735
3,NUNZN,174,2,1092,Correct,3,743
3,QMQVQ,16,2,833,Correct,3,879
3,SQSQS,151,1,684,Correct,3,771
3,ERNFN,231,2,887,Incorrect,3,883
3,AQANA,222,2,594,Correct,3,814
3,OBOEO,102,3,675,Correct,3,802
3,SYSXS,14,2,644,Correct,3,880
3,QBQHQ,162,2,602,Correct,3,757
3,XQXQX,151,1,803,Correct,3,688
3,KUKFK,175,2,669,Correct,3,854
3,RKRKR,15,1,795,Correct,3,908
3,GFGFG,152,1,634,Correct,3,907
3,YBYVY,161,2,535,Correct,3,926
3,SPSTS,162,2,649,Correct,3,804
3,AQAQA,151,1,657,Correct,3,789
