Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,821,Correct,0,699
1,DLDUD,16,2,730,Correct,0,801
1,PDPGP,16,2,928,Correct,0,836
1,MWMWM,15,1,721,Correct,0,797
1,FTFTF,15,1,804,Correct,0,910
1,AXAMA,16,2,798,Correct,0,696
1,RYRGR,16,2,826,Correct,0,652
1,DODOD,15,1,703,Correct,0,789
1,QTQAQ,16,2,740,Correct,0,884
1,YEYEY,15,1,640,Correct,0,678
2,GYGDG,16,2,953,Correct,0,784
2,SWSWS,15,1,578,Correct,0,942
2,HLHUH,16,2,671,Correct,0,898
2,DEDED,15,1,650,Correct,0,743
2,ZPZOZ,16,2,633,Correct,0,694
2,ATATA,15,1,696,Correct,0,716
2,QOQOQ,15,1,782,Correct,0,932
2,FPFGF,16,2,691,Correct,0,858
2,TRTET,16,2,704,Correct,0,734
2,DQDQD,15,1,836,Correct,0,893
4,PLPLP,15,1,677,Correct,0,890
4,ATAIA,16,2,622,Correct,0,838
4,SKSGS,16,2,601,Correct,0,798
4,ZYZYZ,15,1,758,Correct,0,834
4,QSQSQ,15,1,573,Correct,0,843
4,TZTDT,16,2,726,Correct,0,950
4,JYJGJ,16,2,610,Correct,0,742
4,DYDYD,15,1,655,Correct,0,751
4,LTLCL,16,2,699,Correct,0,795
4,FQFEF,16,2,698,Correct,0,707
AT Practice
1,TKTKT,15,1,1174,Correct,0,853
1,SLSUS,16,2,648,Correct,0,942
1,VZVGV,7,3,864,Correct,0,839
1,XWXZX,7,3,640,Correct,0,914
1,ATATA,15,1,793,Correct,0,889
1,HXZMH,16,2,1116,Correct,0,943
1,TZTZT,7,3,831,Correct,0,923
1,UOUOU,15,1,734,Correct,0,940
1,ZTWAW,16,2,938,Correct,0,730
1,RZRER,7,3,830,Correct,0,770
2,JYJDJ,16,2,938,Correct,0,690
2,DWDWD,15,1,825,Correct,0,834
2,GNGNG,7,3,935,Correct,0,921
2,NEZEZ,16,1,1453,Correct,0,672
2,RNROR,7,2,879,False,0,654
2,QTQNQ,7,3,1328,Correct,0,796
2,HOHON,15,1,1410,Correct,0,810
2,KPKGK,16,2,1117,Correct,0,896
2,DRDED,16,2,1307,Correct,0,704
2,LNLNL,7,3,782,Correct,0,745
4,GLGLG,15,1,1446,Correct,0,750
4,DTDID,16,2,771,Correct,0,787
4,SMSGS,16,2,763,Correct,0,827
4,ZFZYZ,7,3,705,Correct,0,826
4,TSTFT,7,3,1077,Correct,0,939
4,OFOFO,7,3,955,Correct,0,934
4,WYFGW,16,2,1213,Correct,0,726
4,WYWYW,15,1,881,Correct,0,836
4,MFMCM,7,3,1079,Correct,0,660
4,HQHEH,16,2,1030,Correct,0,768
Trials
1,D,5,3,1671,New Target,1,744
1,ZNZYZ,161,2,1155,Correct,1,828
1,FZFZF,151,1,1034,Correct,1,902
1,RKRKR,152,1,779,Correct,1,791
1,RXRNR,161,2,850,Correct,1,874
1,CNCFC,162,2,850,Correct,1,918
1,PDPDP,7,3,890,Correct,1,836
1,CPCFC,14,2,766,Correct,1,803
1,VLVNV,162,2,730,Correct,1,730
1,KFKFK,151,1,961,Correct,1,914
1,ZNZNZ,152,1,830,Correct,1,935
1,KCKPD,235,2,875,Correct,1,691
1,ZKZFZ,222,2,771,Correct,1,767
1,NRNZN,162,2,767,Correct,1,774
1,KXKRK,163,2,631,Correct,1,893
1,YPYZY,164,2,685,Correct,1,671
1,FKDKF,223,1,925,Correct,1,709
1,RPRPR,113,1,932,Correct,1,797
1,VRVKV,161,2,681,Correct,1,768
1,RFRPR,162,2,828,Correct,1,705
1,KVKVK,151,1,1105,Correct,1,915
1,YKYVY,161,2,978,Correct,1,704
1,VDVDV,8,3,754,Correct,1,860
1,DVZVZ,221,1,1195,Correct,1,895
1,YFYFY,113,1,864,Correct,1,950
1,ZYZYZ,152,1,775,Correct,1,835
1,VLVXV,161,2,871,Correct,1,655
1,DPXZX,231,2,801,Correct,1,757
1,RYRYR,113,1,743,Correct,1,901
1,PDPNP,91,3,821,Correct,1,793
1,KXKXK,13,1,1135,Correct,1,729
1,ZYZYZ,152,1,705,Correct,1,687
1,VKVKV,153,1,1241,Correct,1,905
1,YZYZY,154,1,735,Correct,1,938
1,NLNZN,161,2,1099,Correct,1,754
1,ZNDYZ,233,2,1221,Correct,1,896
1,PCPXP,222,2,718,Correct,1,827
1,ZVZFZ,162,2,732,Correct,1,793
1,RCRZR,163,2,718,Correct,1,661
1,LRLRL,151,1,726,Correct,1,938
1,ZDZDZ,10,3,673,Correct,1,856
1,RNRZR,14,2,803,Correct,1,743
1,CXCYC,162,2,876,Correct,1,763
1,RCRLR,163,2,695,Correct,1,746
1,FRFRF,151,1,758,Correct,1,747
1,XFXFX,152,1,828,Correct,1,932
1,RPRLR,161,2,738,Correct,1,904
1,YXYRY,162,2,701,Correct,1,832
1,FYFYF,151,1,689,Correct,1,655
1,YZYVY,161,2,770,Correct,1,739
1,YKYKY,151,1,777,Correct,1,873
1,XRXRX,152,1,580,Correct,1,735
1,XVXZX,161,2,711,Correct,1,837
1,PDPDP,11,1,678,Incorrect,1,722
1,ZFZFZ,13,1,1138,Correct,1,807
1,PXPXP,152,1,778,Correct,1,913
1,LYLYL,153,1,657,Correct,1,880
1,NKNKD,225,1,834,Correct,1,766
1,ZNZNZ,113,1,629,Correct,1,904
1,PYPZP,161,2,759,Correct,1,715
1,XPXPX,151,1,637,Correct,1,914
1,VLVLV,152,1,666,Correct,1,832
1,PKPXP,161,2,1005,Correct,1,705
1,FZFZF,151,1,669,Correct,1,869
1,LDLDL,12,3,604,Correct,1,719
2,U,5,3,1842,New Target,2,799
2,ZVZFZ,161,2,800,Correct,2,759
2,FZFZF,151,1,710,Correct,2,830
2,RFRFR,152,1,756,Correct,2,809
2,NZNKN,161,2,829,Correct,2,813
2,FZFNF,162,2,770,Correct,2,945
2,RXRXR,151,1,815,Correct,2,792
2,KRKYK,161,2,728,Correct,2,809
2,NZNPN,162,2,722,Correct,2,819
2,XPXPX,151,1,798,Correct,2,830
2,CUCUC,7,3,816,Correct,2,949
2,RFRFR,13,1,732,Correct,2,650
2,VYVXV,161,2,804,Correct,2,895
2,VDVDV,191,2,1114,Incorrect,2,833
2,ZKZRZ,15,,,Incorrect,2,671
2,XCXCX,151,1,960,Correct,2,882
2,CNCUC,82,3,841,Correct,2,703
2,RCRCR,13,1,718,Correct,2,851
2,ZPZXZ,161,2,717,Correct,2,744
2,FKFYF,162,2,744,Correct,2,787
2,ZFZYZ,163,2,736,Correct,2,900
2,PXPXP,151,1,1019,Correct,2,810
2,URCKC,231,2,785,Correct,2,723
2,PCPCP,113,1,714,Correct,2,813
2,XNXNX,152,1,959,Correct,2,674
2,RCRZR,161,2,722,Correct,2,769
2,XVXVX,151,1,878,Correct,2,801
2,NRNRN,152,1,712,Correct,2,685
2,FPFPF,225,1,895,Correct,2,920
2,XVXFX,222,2,632,Correct,2,684
2,PRPRP,151,1,1144,Correct,2,788
2,FYFCF,161,2,608,Correct,2,928
2,XUXFX,91,3,895,Correct,2,894
2,CYCVC,14,2,834,Correct,2,810
2,VDVKV,172,2,839,Correct,2,890
2,YCYCY,15,1,754,Correct,2,754
2,NKNLN,161,2,839,Correct,2,929
2,XPUKX,233,2,1170,Correct,2,758
2,ZPZPZ,113,1,785,Correct,2,677
2,KRKRK,152,1,1049,Correct,2,821
2,XKXKX,153,1,810,Correct,2,752
2,YUYVY,101,3,783,Correct,2,915
2,XKXFU,235,2,824,Correct,2,806
2,NFNFN,113,1,863,Correct,2,883
2,KDKDK,193,1,997,Correct,2,877
2,XYXKX,16,2,762,Correct,2,680
2,YZUZY,223,1,1125,Correct,2,779
2,KFKVK,222,2,797,Correct,2,898
2,LYLYL,151,1,822,Correct,2,758
2,CXCDC,184,2,955,Incorrect,2,930
2,XZXNX,16,2,691,Correct,2,650
2,PXPXP,151,1,1006,Correct,2,870
2,ZRZYZ,161,1,977,Incorrect,2,724
2,PUPYP,111,2,1371,Incorrect,2,665
2,RNRNR,14,1,1146,Correct,2,881
2,KDKDK,195,1,689,Correct,2,920
2,KNKNK,15,1,708,Correct,2,651
2,PRPKP,161,2,873,Correct,2,949
2,UNYNY,221,1,910,Correct,2,828
2,NYNYN,113,1,996,Correct,2,797
2,YXYXY,152,1,844,Incorrect,2,662
2,RDRDR,196,1,952,Correct,2,692
2,FCFCF,15,1,602,Correct,2,832
2,ZKZKZ,152,1,783,Correct,2,735
2,ZUZUZ,12,3,908,Correct,2,744
3,E,5,3,1358,New Target,3,926
3,YZYZY,151,1,717,Correct,3,827
3,VFVNV,161,2,778,Correct,3,829
3,KYKYK,151,1,916,Correct,3,766
3,NKNKN,152,1,951,Correct,3,910
3,XVXNX,161,2,715,Correct,3,720
