Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,940
1,DLDUD,16,,,False,0,728
1,PDPGP,16,2,1088,Correct,0,834
1,MWMWM,15,1,1085,Correct,0,793
1,FTFTF,15,1,791,Correct,0,826
1,AXAMA,16,2,817,Correct,0,724
1,RYRGR,16,2,835,Correct,0,868
1,DODOD,15,1,760,Correct,0,813
1,QTQAQ,16,2,978,Correct,0,724
1,YEYEY,15,1,677,Correct,0,692
2,GYGDG,16,2,950,Correct,0,783
2,SWSWS,15,1,711,Correct,0,802
2,HLHUH,16,2,997,Correct,0,653
2,DEDED,15,1,673,Correct,0,851
2,ZPZOZ,16,2,713,Correct,0,836
2,ATATA,15,1,480,Correct,0,858
2,QOQOQ,15,1,959,Correct,0,877
2,FPFGF,16,2,828,Correct,0,928
2,TRTET,16,1,626,False,0,812
2,DQDQD,15,1,767,Correct,0,859
AT Practice
1,TKTKT,15,1,1450,Correct,0,744
1,SLSUS,16,2,916,Correct,0,845
1,VZVGV,7,3,593,Correct,0,906
1,XWXZX,7,3,851,Correct,0,689
1,ATATA,15,1,787,Correct,0,913
1,HXZMH,16,2,1417,Correct,0,776
1,TZTZT,7,3,813,Correct,0,674
1,UOUOU,15,1,669,Correct,0,925
1,ZTWAW,16,,,False,0,822
1,RZRER,7,3,1099,Correct,0,859
2,JYJDJ,16,2,1412,Correct,0,848
2,DWDWD,15,1,676,Correct,0,752
2,GNGNG,7,3,492,Correct,0,877
2,NEZEZ,16,1,1218,Correct,0,714
2,RNROR,7,3,954,Correct,0,772
2,QTQNQ,7,3,1015,Correct,0,854
2,HOHON,15,1,649,Correct,0,688
2,KPKGK,16,2,756,Correct,0,847
2,DRDED,16,2,875,Correct,0,844
2,LNLNL,7,3,650,Correct,0,900
4,GLGLG,15,1,1115,Correct,0,850
4,DTDID,16,2,928,Correct,0,891
4,SMSGS,16,3,584,False,0,663
4,ZFZYZ,7,3,713,Correct,0,747
4,TSTFT,7,3,841,Correct,0,652
4,OFOFO,7,3,641,Correct,0,694
4,WYFGW,16,2,1308,Correct,0,843
4,WYWYW,15,1,730,Correct,0,939
4,MFMCM,7,3,687,Correct,0,914
4,HQHEH,16,2,1162,Correct,0,814
Trials
1,D,5,3,2537,New Target,1,834
1,BNBYB,161,2,1177,Correct,1,683
1,FBFBF,151,1,1206,Correct,1,783
1,RKRKR,152,1,891,Correct,1,873
1,QSQNQ,161,2,963,Correct,1,785
1,CTCFC,162,2,727,Correct,1,774
1,PDPDP,7,3,479,Correct,1,920
1,OPOFO,14,2,1427,Correct,1,801
1,HLHNH,162,2,1012,Correct,1,821
1,MFMFM,151,1,1066,Correct,1,721
1,BTBTB,152,1,777,Correct,1,765
1,MCMPD,235,2,1043,Correct,1,800
1,BMBFB,222,2,915,Correct,1,771
1,NTNZN,162,2,867,Correct,1,949
1,MXMRM,163,2,606,Correct,1,701
1,APABA,164,2,801,Correct,1,753
1,FMDMF,223,1,884,Correct,1,938
1,QPQPQ,113,1,877,Correct,1,665
1,VQVMV,161,2,644,Correct,1,793
1,RERPR,162,2,1269,Correct,1,788
1,KVKVK,151,1,1114,Correct,1,930
1,AKAHA,161,2,706,Correct,1,931
1,VDVDV,8,3,812,Correct,1,902
1,DUGUG,221,1,868,Correct,1,842
1,AFAFA,113,1,904,Correct,1,903
1,GYGYG,152,1,834,Correct,1,678
1,VXVSV,161,2,597,Correct,1,885
1,DOWGW,231,2,747,Correct,1,668
1,QYQYQ,113,1,850,Correct,1,935
1,ODONO,91,3,793,Correct,1,812
1,MSMSM,13,1,931,Correct,1,837
1,GYGYG,152,1,781,Correct,1,673
1,UMUMU,153,1,742,Correct,1,811
1,BZBZB,154,1,864,Correct,1,855
1,NTNBN,161,2,790,Correct,1,839
1,GNDYG,233,2,668,Correct,1,882
1,OCOSO,222,2,1115,Correct,1,732
1,BHBFB,162,2,699,Correct,1,697
1,QCQBQ,163,2,659,Correct,1,939
1,LQLQL,151,1,1140,Correct,1,737
1,ZDZDZ,10,3,430,Correct,1,833
1,QNQZQ,14,2,807,Correct,1,700
1,CSCYC,162,2,595,Correct,1,676
1,RCRLR,163,2,688,Correct,1,940
1,FRFRF,151,1,782,Correct,1,793
1,WFWFW,152,1,666,Correct,1,702
1,QOQLQ,161,2,1029,Correct,1,889
1,AWAQA,162,2,593,Correct,1,910
1,EAEAE,151,1,695,Correct,1,682
1,AGAUA,161,2,898,Correct,1,899
1,YMYMY,151,1,611,Correct,1,920
1,XQXQX,152,1,744,Correct,1,743
1,SHSGS,161,2,823,Correct,1,777
1,PDPDP,11,1,655,Incorrect,1,770
1,ZGZGZ,13,1,891,Correct,1,838
1,OXOXO,152,1,606,Correct,1,842
1,LYLYL,153,1,590,Correct,1,833
1,NKNKD,225,1,602,Correct,1,934
1,GNGNG,113,1,521,Correct,1,874
1,OYOBO,161,2,604,Correct,1,850
1,SOSOS,151,1,829,Correct,1,795
1,VHVHV,152,1,692,Correct,1,837
1,OKOXO,161,2,722,Correct,1,824
1,EZEZE,151,1,1001,Correct,1,899
1,LDLDL,12,3,677,Correct,1,916
2,U,5,3,2137,New Target,2,779
2,BVBEB,161,2,893,Correct,2,767
2,FBFBF,151,1,810,Correct,2,658
2,RFRFR,152,1,898,Correct,2,770
2,NBNKN,161,2,681,Correct,2,724
2,MKMNM,162,2,826,Correct,2,736
2,QXQXQ,151,1,933,Correct,2,770
2,MQMYM,161,2,806,Correct,2,892
2,TGTPT,162,2,801,Correct,2,771
2,XOXOX,151,1,720,Correct,2,684
2,CUCUC,7,3,1117,Correct,2,823
2,RFRFR,13,1,763,Correct,2,805
2,VYVSV,161,2,568,Correct,2,741
2,VDVDV,191,1,1557,Correct,2,937
2,GKGQG,15,2,674,Correct,2,760
2,SCSCS,151,2,770,Incorrect,2,798
2,CTCUC,82,3,893,Correct,2,802
2,RCRCR,13,1,1123,Correct,2,792
2,BOBXB,161,2,691,Correct,2,763
2,FMFAF,162,2,816,Correct,2,783
2,BEBAB,163,2,581,Correct,2,931
2,PWPWP,151,1,659,Correct,2,883
2,UQCKC,231,2,765,Correct,2,934
2,OCOCO,113,1,939,Correct,2,730
2,TNTNT,152,1,653,Correct,2,873
2,QCQGQ,161,2,787,Correct,2,917
2,WVWVW,151,1,1217,Correct,2,729
2,TQTQT,152,1,734,Correct,2,749
2,FOFOF,225,1,695,Correct,2,883
2,WVWFW,222,2,631,Correct,2,738
2,SWSWS,151,1,668,Correct,2,726
2,FYFCF,161,2,548,Correct,2,913
2,SUSWS,91,3,802,Correct,2,872
2,CACHC,14,2,1309,Correct,2,780
2,VDVKV,172,2,873,Correct,2,686
2,YCYCY,15,1,924,Correct,2,884
2,NMNTN,161,2,715,Correct,2,947
2,XOUKX,233,2,953,Correct,2,775
2,BPBPB,113,1,703,Correct,2,780
2,MRMRM,152,1,763,Correct,2,770
2,XMXMX,153,1,756,Correct,2,910
2,AUAHA,101,3,625,Correct,2,811
2,XKXEU,235,2,1452,Correct,2,928
2,TFTFT,113,1,856,Correct,2,919
2,MDMDM,193,1,862,Correct,2,880
2,WYWMW,16,2,681,Correct,2,738
2,AZUZA,223,1,790,Correct,2,828
2,KEKHK,222,2,689,Correct,2,811
2,LALAL,151,1,719,Correct,2,769
2,CWCDC,184,2,799,Incorrect,2,652
2,SGSTS,16,1,679,Incorrect,2,806
2,PXPXP,151,1,973,Correct,2,657
2,GRGYG,161,2,608,Correct,2,807
2,PUPOP,111,3,884,Correct,2,722
2,RNRNR,14,1,810,Correct,2,826
2,KDKDK,195,1,771,Correct,2,816
2,KTKTK,15,1,716,Correct,2,822
2,OROKO,161,2,611,Correct,2,936
2,UNANA,221,1,803,Correct,2,804
2,TATAT,113,1,584,Correct,2,915
2,AWAWA,152,1,686,Incorrect,2,718
2,RDRDR,196,1,604,Correct,2,774
2,FCFCF,15,1,668,Correct,2,798
2,ZMZMZ,152,1,608,Correct,2,695
2,BUBUB,12,1,526,Incorrect,2,841
3,E,5,3,4252,New Target,3,712
3,YZYZY,151,1,791,Correct,3,888
3,VFVNV,161,2,659,Correct,3,790
3,KAKAK,151,1,547,Correct,3,740
3,TKTKT,152,1,507,Correct,3,688
3,WHWTW,161,2,630,Correct,3,664
3,QEQFQ,71,3,930,Correct,3,894
3,XNXNX,13,1,742,Correct,3,785
3,TXTXT,152,1,737,Correct,3,882
3,GLGNG,161,2,753,Correct,3,668
3,CUCTC,171,2,1401,Correct,3,883
3,FAFQF,16,2,701,Correct,3,754
3,ZLZLZ,151,1,629,Correct,3,922
3,YZYZY,152,1,576,Correct,3,915
3,CYCYC,153,2,545,Incorrect,3,829
3,HUHUH,192,,,Incorrect,3,727
3,OSORO,16,2,948,Correct,3,740
3,YOYOY,151,1,844,Correct,3,693
