Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,662
1,DLDUD,16,2,890,Correct,0,889
1,PDPGP,16,2,799,Correct,0,735
1,MWMWM,15,1,1076,Correct,0,826
1,FTFTF,15,1,829,Correct,0,895
1,AXAMA,16,2,731,Correct,0,873
1,RYRGR,16,2,834,Correct,0,809
1,DODOD,15,2,626,False,0,847
1,QTQAQ,16,2,764,Correct,0,839
1,YEYEY,15,1,600,Correct,0,711
2,GYGDG,16,2,566,Correct,0,910
2,SWSWS,15,1,594,Correct,0,827
2,HLHUH,16,2,675,Correct,0,746
2,DEDED,15,1,618,Correct,0,911
2,ZPZOZ,16,2,589,Correct,0,666
2,ATATA,15,1,540,Correct,0,693
2,QOQOQ,15,1,843,Correct,0,897
2,FPFGF,16,2,704,Correct,0,794
2,TRTET,16,2,615,Correct,0,856
2,DQDQD,15,1,829,Correct,0,941
AT Practice
1,TKTKT,15,1,915,Correct,0,674
1,SLSUS,16,2,645,Correct,0,775
1,VZVGV,7,3,1457,Correct,0,748
1,XWXZX,7,3,902,Correct,0,660
1,ATATA,15,1,599,Correct,0,800
1,HXZMH,16,2,1275,Correct,0,659
1,TZTZT,7,,,False,0,726
1,UOUOU,15,1,909,Correct,0,736
1,ZTWAW,16,2,869,Correct,0,654
1,RZRER,7,3,1399,Correct,0,813
2,JYJDJ,16,,,False,0,663
2,DWDWD,15,2,851,False,0,661
2,GNGNG,7,1,780,False,0,696
2,NEZEZ,16,1,1123,Correct,0,782
2,RNROR,7,3,862,Correct,0,693
2,QTQNQ,7,3,796,Correct,0,900
2,HOHON,15,1,1215,Correct,0,883
2,KPKGK,16,2,1504,Correct,0,880
2,DRDED,16,,,False,0,754
2,LNLNL,7,3,1333,Correct,0,722
4,GLGLG,15,1,1068,Correct,0,774
4,DTDID,16,2,669,Correct,0,698
4,SMSGS,16,2,619,Correct,0,683
4,ZFZYZ,7,3,581,Correct,0,816
4,TSTFT,7,3,590,Correct,0,950
4,OFOFO,7,3,640,Correct,0,744
4,WYFGW,16,2,1362,Correct,0,662
4,WYWYW,15,1,1135,Correct,0,899
4,MFMCM,7,3,908,Correct,0,674
4,HQHEH,16,2,953,Correct,0,894
Trials
1,D,5,3,2164,New Target,1,826
1,BNBYB,161,2,658,Correct,1,943
1,FBFBF,151,1,1091,Correct,1,733
1,RKRKR,152,1,959,Correct,1,858
1,QSQNQ,161,2,882,Correct,1,812
1,CTCFC,162,2,1077,Correct,1,916
1,PDPDP,7,3,818,Correct,1,888
1,OPOFO,14,2,926,Correct,1,757
1,HLHNH,162,,,Incorrect,1,760
1,MFMFM,151,1,801,Correct,1,671
1,BTBTB,152,1,718,Correct,1,726
1,MCMPD,235,2,606,Correct,1,681
1,BMBFB,222,2,705,Correct,1,754
1,NTNZN,162,2,1059,Correct,1,657
1,MXMRM,163,2,710,Correct,1,695
1,APABA,164,2,766,Correct,1,949
1,FMDMF,223,1,725,Correct,1,884
1,QPQPQ,113,1,722,Correct,1,801
1,VQVMV,161,2,656,Correct,1,813
1,RERPR,162,2,787,Correct,1,692
1,KVKVK,151,1,858,Correct,1,868
1,AKAHA,161,2,822,Correct,1,729
1,VDVDV,8,1,639,Incorrect,1,807
1,DUGUG,221,1,1129,Correct,1,877
1,AFAFA,113,1,742,Correct,1,783
1,GYGYG,152,1,830,Correct,1,873
1,VXVSV,161,2,804,Correct,1,850
1,DOWGW,231,2,1518,Correct,1,792
1,QYQYQ,113,1,706,Correct,1,662
1,ODONO,91,3,1043,Correct,1,684
1,MSMSM,13,1,857,Correct,1,685
1,GYGYG,152,1,738,Correct,1,772
1,UMUMU,153,1,665,Correct,1,921
1,BZBZB,154,1,729,Correct,1,732
1,NTNBN,161,2,697,Correct,1,731
1,GNDYG,233,2,821,Correct,1,882
1,OCOSO,222,2,905,Correct,1,938
1,BHBFB,162,2,1042,Correct,1,697
1,QCQBQ,163,2,689,Correct,1,818
1,LQLQL,151,1,771,Correct,1,661
1,ZDZDZ,10,3,985,Correct,1,889
1,QNQZQ,14,2,992,Correct,1,742
1,CSCYC,162,2,592,Correct,1,840
1,RCRLR,163,2,596,Correct,1,699
1,FRFRF,151,1,775,Correct,1,792
1,WFWFW,152,1,704,Correct,1,883
1,QOQLQ,161,2,768,Correct,1,689
1,AWAQA,162,2,1136,Correct,1,687
1,EAEAE,151,1,658,Correct,1,744
1,AGAUA,161,2,560,Correct,1,826
1,YMYMY,151,1,629,Correct,1,823
1,XQXQX,152,2,480,Incorrect,1,853
1,SHSGS,161,2,760,Correct,1,708
1,PDPDP,11,3,990,Correct,1,918
1,ZGZGZ,13,1,1039,Correct,1,871
1,OXOXO,152,1,684,Correct,1,893
1,LYLYL,153,1,567,Correct,1,890
1,NKNKD,225,1,685,Correct,1,709
1,GNGNG,113,1,781,Correct,1,762
1,OYOBO,161,2,869,Correct,1,890
1,SOSOS,151,1,670,Correct,1,751
1,VHVHV,152,1,794,Correct,1,876
1,OKOXO,161,2,905,Correct,1,666
1,EZEZE,151,1,600,Correct,1,941
1,LDLDL,12,3,707,Correct,1,926
2,U,5,3,7345,New Target,2,934
2,BVBEB,161,2,932,Correct,2,776
2,FBFBF,151,1,844,Correct,2,727
2,RFRFR,152,1,811,Correct,2,674
2,NBNKN,161,2,645,Correct,2,746
2,MKMNM,162,2,788,Correct,2,847
2,QXQXQ,151,1,744,Correct,2,917
2,MQMYM,161,2,613,Correct,2,813
2,TGTPT,162,2,695,Correct,2,704
2,XOXOX,151,1,643,Correct,2,850
2,CUCUC,7,3,852,Correct,2,703
2,RFRFR,13,1,814,Correct,2,761
2,VYVSV,161,2,910,Correct,2,651
2,VDVDV,191,1,767,Correct,2,917
2,GKGQG,15,2,666,Correct,2,776
2,SCSCS,151,1,718,Correct,2,697
2,CTCUC,82,3,1213,Correct,2,694
2,RCRCR,13,1,856,Correct,2,730
2,BOBXB,161,2,638,Correct,2,793
2,FMFAF,162,2,746,Correct,2,887
2,BEBAB,163,2,676,Correct,2,868
2,PWPWP,151,1,1067,Correct,2,948
2,UQCKC,231,2,598,Correct,2,857
2,OCOCO,113,1,1515,Correct,2,656
2,TNTNT,152,1,1162,Correct,2,806
2,QCQGQ,161,2,616,Correct,2,720
2,WVWVW,151,1,1234,Correct,2,937
2,TQTQT,152,1,752,Correct,2,659
2,FOFOF,225,1,751,Correct,2,715
2,WVWFW,222,2,656,Correct,2,653
2,SWSWS,151,1,546,Correct,2,720
2,FYFCF,161,2,503,Correct,2,723
2,SUSWS,91,2,618,Incorrect,2,822
2,CACHC,14,2,813,Correct,2,759
2,VDVKV,172,2,1123,Correct,2,895
2,YCYCY,15,1,626,Correct,2,791
2,NMNTN,161,2,646,Correct,2,711
2,XOUKX,233,,,Incorrect,2,791
2,BPBPB,113,2,750,Incorrect,2,907
2,MRMRM,152,1,696,Correct,2,820
2,XMXMX,153,1,719,Correct,2,950
2,AUAHA,101,3,846,Correct,2,753
2,XKXEU,235,2,745,Correct,2,681
2,TFTFT,113,1,672,Correct,2,941
2,MDMDM,193,1,990,Correct,2,818
2,WYWMW,16,2,636,Correct,2,913
2,AZUZA,223,,,Incorrect,2,793
2,KEKHK,222,2,1100,Correct,2,706
2,LALAL,151,1,733,Correct,2,721
2,CWCDC,184,2,1256,Incorrect,2,791
2,SGSTS,16,2,851,Correct,2,723
2,PXPXP,151,1,713,Correct,2,788
2,GRGYG,161,2,714,Correct,2,653
2,PUPOP,111,3,824,Correct,2,780
2,RNRNR,14,2,594,Incorrect,2,849
2,KDKDK,195,1,625,Correct,2,838
2,KTKTK,15,1,646,Correct,2,673
2,OROKO,161,2,761,Correct,2,689
2,UNANA,221,1,898,Correct,2,815
2,TATAT,113,1,602,Correct,2,728
2,AWAWA,152,1,678,Incorrect,2,926
2,RDRDR,196,1,580,Correct,2,834
2,FCFCF,15,1,521,Correct,2,670
2,ZMZMZ,152,1,653,Correct,2,847
2,BUBUB,12,3,601,Correct,2,900
3,E,5,3,1283,New Target,3,839
3,YZYZY,151,,,Incorrect,3,834
3,VFVNV,161,2,667,Correct,3,704
3,KAKAK,151,1,616,Correct,3,863
3,TKTKT,152,1,708,Correct,3,935
3,WHWTW,161,2,601,Correct,3,949
3,QEQFQ,71,3,756,Correct,3,923
3,XNXNX,13,1,788,Correct,3,669
3,TXTXT,152,1,846,Correct,3,739
3,GLGNG,161,2,650,Correct,3,696
3,CUCTC,171,2,894,Correct,3,710
3,FAFQF,16,2,1538,Correct,3,879
3,ZLZLZ,151,1,818,Correct,3,689
3,YZYZY,152,1,777,Correct,3,816
3,CYCYC,153,1,616,Correct,3,713
3,HUHUH,192,1,1016,Correct,3,854
3,OSORO,16,2,716,Correct,3,734
3,YOYOY,151,1,653,Correct,3,725
