Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,773,Correct,0,896
1,DLDUD,16,2,730,Correct,0,799
1,PDPGP,16,2,783,Correct,0,902
1,MWMWM,15,1,695,Correct,0,668
1,FTFTF,15,1,611,Correct,0,749
1,AXAMA,16,2,737,Correct,0,716
1,RYRGR,16,2,811,Correct,0,749
1,DODOD,15,1,604,Correct,0,882
1,QTQAQ,16,2,791,Correct,0,853
1,YEYEY,15,1,642,Correct,0,650
2,GYGDG,16,2,725,Correct,0,862
2,SWSWS,15,1,640,Correct,0,764
2,HLHUH,16,2,927,Correct,0,701
2,DEDED,15,1,655,Correct,0,828
2,ZPZOZ,16,2,687,Correct,0,653
2,ATATA,15,1,580,Correct,0,927
2,QOQOQ,15,1,1184,Correct,0,900
2,FPFGF,16,2,819,Correct,0,921
2,TRTET,16,2,812,Correct,0,688
2,DQDQD,15,1,1072,Correct,0,864
AT Practice
1,TKTKT,15,1,1167,Correct,0,823
1,SLSUS,16,2,631,Correct,0,776
1,VZVGV,7,3,676,Correct,0,795
1,XWXZX,7,3,1241,Correct,0,911
1,ATATA,15,1,830,Correct,0,863
1,HXZMH,16,2,1262,Correct,0,949
1,TZTZT,7,3,722,Correct,0,764
1,UOUOU,15,1,895,Correct,0,700
1,ZTWAW,16,2,694,Correct,0,689
1,RZRER,7,3,915,Correct,0,685
Trials
1,D,5,3,64605,New Target,1,730
1,BNBYB,161,2,908,Correct,1,653
1,FBFBF,151,1,1548,Correct,1,900
1,RKRKR,152,1,1253,Correct,1,931
1,QSQNQ,161,2,1452,Correct,1,847
1,CTCFC,162,,,Incorrect,1,827
1,PDPDP,7,3,759,Correct,1,777
1,OPOFO,14,1,897,Incorrect,1,866
1,HLHNH,162,2,1468,Correct,1,704
1,MFMFM,151,1,1002,Correct,1,891
1,BTBTB,152,1,1343,Correct,1,745
1,MCMPD,235,,,Incorrect,1,848
1,BMBFB,222,2,887,Correct,1,937
1,NTNZN,162,2,1352,Correct,1,940
1,MXMRM,163,2,810,Correct,1,904
1,APABA,164,2,887,Correct,1,691
1,FMDMF,223,2,1048,Incorrect,1,906
1,QPQPQ,111,1,706,Correct,1,910
1,VQVMV,161,2,779,Correct,1,887
1,RERPR,162,2,636,Correct,1,651
1,KVKVK,151,1,1526,Correct,1,930
1,AKAHA,161,2,645,Correct,1,777
1,VDVDV,8,3,840,Correct,1,672
1,DUGUG,221,,,Incorrect,1,839
1,AFAFA,111,1,710,Correct,1,878
1,GYGYG,152,1,703,Correct,1,870
1,VXVSV,161,2,736,Correct,1,723
1,DOWGW,231,2,1226,Correct,1,845
1,QYQYQ,111,1,1010,Correct,1,810
1,ODONO,91,1,618,Incorrect,1,677
1,MSMSM,13,1,807,Correct,1,914
1,GYGYG,152,1,872,Correct,1,653
1,UMUMU,153,1,1360,Correct,1,740
1,BZBZB,154,1,721,Correct,1,927
1,NTNBN,161,2,1209,Correct,1,944
1,GNDYG,233,,,Incorrect,1,681
1,OCOSO,222,1,607,Incorrect,1,926
1,BHBFB,162,2,1105,Correct,1,789
1,QCQBQ,163,2,879,Correct,1,785
1,LQLQL,151,2,722,Incorrect,1,894
1,ZDZDZ,10,3,874,Correct,1,944
1,QNQZQ,14,2,882,Correct,1,698
1,CSCYC,162,2,902,Correct,1,865
1,RCRLR,163,2,817,Correct,1,686
1,FRFRF,151,1,1220,Correct,1,909
1,WFWFW,152,1,642,Correct,1,658
1,QOQLQ,161,2,716,Correct,1,913
1,AWAQA,162,2,677,Correct,1,866
1,EAEAE,151,1,870,Correct,1,796
1,AGAUA,161,2,704,Correct,1,659
1,YMYMY,151,1,713,Correct,1,873
1,XQXQX,152,1,1059,Correct,1,844
1,SHSGS,161,2,679,Correct,1,679
1,PDPDP,11,3,930,Correct,1,878
1,ZGZGZ,13,1,876,Correct,1,723
1,OXOXO,152,1,914,Correct,1,806
1,LYLYL,153,1,1171,Correct,1,888
1,NKNKD,225,2,1075,Incorrect,1,671
1,GNGNG,111,1,1055,Correct,1,924
1,OYOBO,161,2,896,Correct,1,711
1,SOSOS,151,1,823,Correct,1,868
1,VHVHV,152,2,1274,Incorrect,1,874
1,OKOXO,161,2,1153,Correct,1,781
1,EZEZE,151,1,878,Correct,1,767
1,LDLDL,12,3,774,Correct,1,796
2,U,5,3,2908,New Target,2,941
2,BVBEB,161,2,1169,Correct,2,773
2,FBFBF,151,1,750,Correct,2,672
2,RFRFR,152,1,792,Correct,2,878
2,NBNKN,161,2,998,Correct,2,658
2,MKMNM,162,2,1246,Correct,2,670
2,QXQXQ,151,1,765,Correct,2,663
2,MQMYM,161,2,1267,Correct,2,879
2,TGTPT,162,2,1193,Correct,2,839
2,XOXOX,151,1,721,Correct,2,884
2,CUCUC,7,1,677,Incorrect,2,657
2,RFRFR,13,1,881,Correct,2,892
2,VYVSV,161,2,811,Correct,2,682
2,VDVDV,191,1,730,Correct,2,710
2,GKGQG,15,2,810,Correct,2,739
2,SCSCS,151,1,678,Correct,2,702
2,CTCUC,82,2,1014,Incorrect,2,772
2,RCRCR,13,1,1099,Correct,2,675
2,BOBXB,161,2,701,Correct,2,715
2,FMFAF,162,2,840,Correct,2,881
2,BEBAB,163,2,803,Correct,2,751
2,PWPWP,151,1,829,Correct,2,755
2,UQCKC,231,2,1014,Correct,2,799
2,OCOCO,111,1,693,Correct,2,873
2,TNTNT,152,1,818,Correct,2,778
2,QCQGQ,161,2,841,Correct,2,871
2,WVWVW,151,1,862,Correct,2,923
2,TQTQT,152,1,803,Correct,2,852
2,FOFOF,225,1,753,Correct,2,691
2,WVWFW,222,2,665,Correct,2,917
2,SWSWS,151,2,686,Incorrect,2,657
2,FYFCF,161,2,653,Correct,2,708
2,SUSWS,91,3,842,Correct,2,830
2,CACHC,14,2,705,Correct,2,838
2,VDVKV,172,2,924,Correct,2,872
2,YCYCY,15,1,737,Correct,2,819
2,NMNTN,161,2,923,Correct,2,860
2,XOUKX,233,2,1315,Correct,2,728
2,BPBPB,111,1,1058,Correct,2,930
2,MRMRM,152,1,1213,Correct,2,933
2,XMXMX,153,1,745,Correct,2,732
2,AUAHA,101,2,594,Incorrect,2,834
2,XKXEU,235,2,869,Correct,2,807
2,TFTFT,111,1,762,Correct,2,862
2,MDMDM,193,1,1010,Correct,2,831
2,WYWMW,16,2,730,Correct,2,656
2,AZUZA,223,2,1363,Incorrect,2,875
2,KEKHK,222,2,1522,Correct,2,921
2,LALAL,151,1,773,Correct,2,681
2,CWCDC,184,2,690,Incorrect,2,783
2,SGSTS,16,2,801,Correct,2,741
2,PXPXP,151,1,880,Correct,2,663
2,GRGYG,161,2,1194,Correct,2,729
2,PUPOP,111,2,1279,Incorrect,2,933
2,RNRNR,14,1,1203,Correct,2,867
2,KDKDK,195,,,Incorrect,2,913
2,KTKTK,15,1,667,Correct,2,674
2,OROKO,161,2,1372,Correct,2,763
2,UNANA,221,1,1425,Correct,2,759
2,TATAT,111,1,652,Correct,2,947
2,AWAWA,152,1,712,Incorrect,2,942
2,RDRDR,196,1,1295,Correct,2,911
2,FCFCF,15,1,533,Correct,2,838
2,ZMZMZ,152,1,566,Correct,2,770
2,BUBUB,12,1,496,Incorrect,2,933
3,E,5,3,2455,New Target,3,671
3,YZYZY,151,1,1011,Correct,3,723
3,VFVNV,161,2,654,Correct,3,867
3,KAKAK,151,1,610,Correct,3,666
3,TKTKT,152,1,520,Correct,3,657
3,WHWTW,161,2,667,Correct,3,807
3,QEQFQ,71,2,790,Incorrect,3,943
3,XNXNX,13,1,885,Correct,3,711
3,TXTXT,152,1,684,Correct,3,830
3,GLGNG,161,2,655,Correct,3,658
3,CUCTC,171,2,724,Correct,3,700
3,FAFQF,16,2,622,Correct,3,796
3,ZLZLZ,151,1,830,Correct,3,803
3,YZYZY,152,1,646,Correct,3,852
3,CYCYC,153,1,598,Correct,3,818
3,HUHUH,192,1,724,Correct,3,805
3,OSORO,16,2,895,Correct,3,919
3,YOYOY,151,1,632,Correct,3,689
3,CECEC,8,3,1004,Correct,3,700
3,VNENV,223,1,1356,Correct,3,839
3,KQKFK,222,2,1585,Correct,3,797
3,XLXLE,225,2,1311,Incorrect,3,706
3,QUQUQ,193,1,759,Correct,3,786
3,SWSLS,16,2,1485,Correct,3,944
3,NBNPN,162,2,1432,Correct,3,907
3,SGSGS,151,1,716,Correct,3,720
3,FBFBF,152,1,953,Correct,3,804
3,PFPFP,153,1,748,Correct,3,848
3,AGASA,161,1,663,Incorrect,3,845
3,KEKEK,9,3,1123,Correct,3,898
3,CWCOC,14,2,1084,Correct,3,924
3,HXHXH,151,1,905,Correct,3,878
3,NUNZN,174,2,1327,Correct,3,757
3,QMQVQ,16,2,913,Correct,3,898
3,SQSQS,151,1,850,Correct,3,861
