Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,904
1,DLDUD,16,2,1516,Correct,0,721
1,PDPGP,16,1,679,False,0,793
1,MWMWM,15,1,1167,Correct,0,901
1,FTFTF,15,1,1064,Correct,0,819
1,AXAMA,16,2,1185,Correct,0,885
1,RYRGR,16,1,876,False,0,673
1,DODOD,15,1,1151,Correct,0,805
1,QTQAQ,16,2,889,Correct,0,750
1,YEYEY,15,1,745,Correct,0,841
2,GYGDG,16,2,749,Correct,0,785
2,SWSWS,15,1,650,Correct,0,691
2,HLHUH,16,2,775,Correct,0,770
2,DEDED,15,1,641,Correct,0,756
2,ZPZOZ,16,2,704,Correct,0,716
2,ATATA,15,1,602,Correct,0,807
2,QOQOQ,15,1,1226,Correct,0,774
2,FPFGF,16,2,848,Correct,0,774
2,TRTET,16,2,783,Correct,0,899
2,DQDQD,15,1,820,Correct,0,848
AT Practice
1,TKTKT,15,,,False,0,752
1,SLSUS,16,,,False,0,744
1,VZVGV,7,,,False,0,774
1,XWXZX,7,2,1070,False,0,662
1,ATATA,15,1,1177,Correct,0,851
1,HXZMH,16,2,1102,Correct,0,894
1,TZTZT,7,3,698,Correct,0,760
1,UOUOU,15,1,710,Correct,0,699
1,ZTWAW,16,2,844,Correct,0,921
1,RZRER,7,3,885,Correct,0,678
2,JYJDJ,16,2,1352,Correct,0,674
2,DWDWD,15,1,1110,Correct,0,919
2,GNGNG,7,3,845,Correct,0,918
2,NEZEZ,16,3,1199,False,0,881
2,RNROR,7,3,870,Correct,0,806
2,QTQNQ,7,3,837,Correct,0,946
2,HOHON,15,3,1116,False,0,699
2,KPKGK,16,,,False,0,725
2,DRDED,16,2,1476,Correct,0,779
2,LNLNL,7,3,1103,Correct,0,858
4,GLGLG,15,1,1053,Correct,0,860
4,DTDID,16,2,904,Correct,0,840
4,SMSGS,16,2,749,Correct,0,689
4,ZFZYZ,7,2,787,False,0,878
4,TSTFT,7,,,False,0,697
4,OFOFO,7,1,705,False,0,899
4,WYFGW,16,,,False,0,929
4,WYWYW,15,1,1598,Correct,0,814
4,MFMCM,7,2,869,False,0,747
4,HQHEH,16,,,False,0,710
