Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1311,Correct,0,705
1,DLDUD,16,,,False,0,665
1,PDPGP,16,2,1221,Correct,0,869
1,MWMWM,15,1,1070,Correct,0,742
1,FTFTF,15,1,888,Correct,0,891
1,AXAMA,16,2,1534,Correct,0,747
1,RYRGR,16,2,955,Correct,0,766
1,DODOD,15,1,1035,Correct,0,759
1,QTQAQ,16,2,1416,Correct,0,732
1,YEYEY,15,1,948,Correct,0,850
2,GYGDG,16,2,1267,Correct,0,823
2,SWSWS,15,1,912,Correct,0,935
2,HLHUH,16,2,947,Correct,0,805
2,DEDED,15,1,958,Correct,0,909
2,ZPZOZ,16,2,779,Correct,0,842
2,ATATA,15,1,948,Correct,0,699
2,QOQOQ,15,,,False,0,840
2,FPFGF,16,2,863,Correct,0,688
2,TRTET,16,2,684,Correct,0,926
2,DQDQD,15,1,708,Correct,0,828
AT Practice
1,TKTKT,15,2,1033,False,0,866
1,SLSUS,16,2,1008,Correct,0,950
1,VZVGV,7,1,895,False,0,820
1,XWXZX,7,3,1133,Correct,0,924
1,ATATA,15,1,1432,Correct,0,711
1,HXZMH,16,2,1544,Correct,0,698
1,TZTZT,7,3,866,Correct,0,835
1,UOUOU,15,2,1106,False,0,861
1,ZTWAW,16,,,False,0,779
1,RZRER,7,1,896,False,0,890
2,JYJDJ,16,2,1012,Correct,0,935
2,DWDWD,15,1,687,Correct,0,897
2,GNGNG,7,1,1148,False,0,747
2,NEZEZ,16,1,1549,Correct,0,938
2,RNROR,7,3,729,Correct,0,728
2,QTQNQ,7,3,1136,Correct,0,777
2,HOHON,15,1,1547,Correct,0,811
2,KPKGK,16,2,890,Correct,0,651
2,DRDED,16,2,1034,Correct,0,845
2,LNLNL,7,3,813,Correct,0,674
Trials
1,D,5,3,11455,New Target,1,925
1,ZNZYZ,161,,,Incorrect,1,661
1,FZFZF,151,1,1350,Correct,1,878
1,RKRKR,152,1,1029,Correct,1,899
1,RXRNR,161,,,Incorrect,1,655
1,CNCFC,162,3,1212,Incorrect,1,680
1,PDPDP,7,,,Incorrect,1,941
1,CPCFC,14,2,1344,Correct,1,728
1,VLVNV,162,3,1332,Incorrect,1,755
1,KFKFK,151,1,1126,Correct,1,863
1,ZNZNZ,152,1,1117,Correct,1,933
1,KCKPD,235,2,1031,Correct,1,913
1,ZKZFZ,222,2,900,Correct,1,859
1,NRNZN,162,2,887,Correct,1,880
1,KXKRK,163,2,784,Correct,1,704
1,YPYZY,164,2,587,Correct,1,780
1,FKDKF,223,2,955,Incorrect,1,825
1,RPRPR,113,1,891,Correct,1,870
1,VRVKV,161,2,677,Correct,1,675
1,RFRPR,162,2,899,Correct,1,820
1,KVKVK,151,3,958,Incorrect,1,690
1,YKYVY,161,2,850,Correct,1,807
1,VDVDV,8,3,908,Correct,1,778
1,DVZVZ,221,1,928,Correct,1,798
1,YFYFY,113,1,697,Correct,1,728
1,ZYZYZ,152,1,786,Correct,1,916
1,VLVXV,161,2,894,Correct,1,710
1,DPXZX,231,2,790,Correct,1,742
1,RYRYR,113,1,817,Correct,1,754
1,PDPNP,91,3,988,Correct,1,768
1,KXKXK,13,1,1086,Correct,1,841
1,ZYZYZ,152,1,696,Correct,1,909
1,VKVKV,153,1,836,Correct,1,880
1,YZYZY,154,1,800,Correct,1,668
1,NLNZN,161,2,781,Correct,1,659
1,ZNDYZ,233,2,893,Correct,1,668
1,PCPXP,222,2,742,Correct,1,754
1,ZVZFZ,162,2,653,Correct,1,868
1,RCRZR,163,2,601,Correct,1,849
1,LRLRL,151,1,713,Correct,1,807
1,ZDZDZ,10,3,715,Correct,1,720
1,RNRZR,14,2,857,Correct,1,724
1,CXCYC,162,2,914,Correct,1,715
1,RCRLR,163,2,648,Correct,1,817
1,FRFRF,151,1,825,Correct,1,703
1,XFXFX,152,1,839,Correct,1,682
1,RPRLR,161,2,962,Correct,1,733
1,YXYRY,162,2,619,Correct,1,744
1,FYFYF,151,2,693,Incorrect,1,900
1,YZYVY,161,2,785,Correct,1,784
1,YKYKY,151,1,744,Correct,1,873
1,XRXRX,152,1,768,Correct,1,848
1,XVXZX,161,2,651,Correct,1,836
1,PDPDP,11,1,666,Incorrect,1,852
1,ZFZFZ,13,1,612,Correct,1,851
1,PXPXP,152,1,935,Correct,1,717
1,LYLYL,153,1,621,Correct,1,724
1,NKNKD,225,1,866,Correct,1,729
1,ZNZNZ,113,1,763,Correct,1,763
1,PYPZP,161,2,754,Correct,1,859
1,XPXPX,151,1,748,Correct,1,787
1,VLVLV,152,1,662,Correct,1,837
1,PKPXP,161,2,715,Correct,1,703
1,FZFZF,151,1,634,Correct,1,695
1,LDLDL,12,3,633,Correct,1,824
2,U,5,3,5898,New Target,2,751
2,ZVZFZ,161,2,1577,Correct,2,742
2,FZFZF,151,1,850,Correct,2,826
2,RFRFR,152,1,822,Correct,2,842
2,NZNKN,161,2,850,Correct,2,655
2,FZFNF,162,2,687,Correct,2,661
2,RXRXR,151,1,722,Correct,2,668
2,KRKYK,161,2,649,Correct,2,925
2,NZNPN,162,2,792,Correct,2,823
2,XPXPX,151,1,705,Correct,2,867
2,CUCUC,7,3,558,Correct,2,820
2,RFRFR,13,1,721,Correct,2,840
2,VYVXV,161,2,681,Correct,2,882
2,VDVDV,191,1,1113,Correct,2,800
2,ZKZRZ,15,2,699,Correct,2,732
2,XCXCX,151,1,664,Correct,2,781
2,CNCUC,82,3,695,Correct,2,812
2,RCRCR,13,1,842,Correct,2,689
2,ZPZXZ,161,2,654,Correct,2,914
2,FKFYF,162,2,678,Correct,2,946
2,ZFZYZ,163,2,682,Correct,2,698
2,PXPXP,151,1,682,Correct,2,710
2,URCKC,231,2,897,Correct,2,919
2,PCPCP,113,1,874,Correct,2,755
2,XNXNX,152,1,636,Correct,2,901
2,RCRZR,161,2,589,Correct,2,758
2,XVXVX,151,1,658,Correct,2,733
2,NRNRN,152,1,653,Correct,2,879
2,FPFPF,225,1,735,Correct,2,711
2,XVXFX,222,2,603,Correct,2,801
2,PRPRP,151,1,690,Correct,2,656
2,FYFCF,161,2,588,Correct,2,905
2,XUXFX,91,3,634,Correct,2,842
2,CYCVC,14,2,647,Correct,2,840
2,VDVKV,172,2,644,Correct,2,808
2,YCYCY,15,1,614,Correct,2,743
2,NKNLN,161,2,619,Correct,2,652
2,XPUKX,233,2,812,Correct,2,783
2,ZPZPZ,113,1,577,Correct,2,920
2,KRKRK,152,1,887,Correct,2,675
2,XKXKX,153,1,609,Correct,2,666
2,YUYVY,101,3,687,Correct,2,857
2,XKXFU,235,2,688,Correct,2,725
2,NFNFN,113,1,720,Correct,2,701
2,KDKDK,193,1,639,Correct,2,740
2,XYXKX,16,2,670,Correct,2,796
2,YZUZY,223,1,1168,Correct,2,738
2,KFKVK,222,2,666,Correct,2,799
2,LYLYL,151,1,670,Correct,2,651
2,CXCDC,184,2,767,Incorrect,2,679
2,XZXNX,16,2,619,Correct,2,776
2,PXPXP,151,2,653,Incorrect,2,839
2,ZRZYZ,161,2,668,Correct,2,759
2,PUPYP,111,3,599,Correct,2,897
2,RNRNR,14,1,857,Correct,2,746
2,KDKDK,195,1,762,Correct,2,943
2,KNKNK,15,1,709,Correct,2,780
2,PRPKP,161,2,727,Correct,2,698
2,UNYNY,221,1,800,Correct,2,859
2,NYNYN,113,1,1022,Correct,2,686
2,YXYXY,152,1,643,Incorrect,2,663
2,RDRDR,196,1,524,Correct,2,948
2,FCFCF,15,1,574,Correct,2,852
2,ZKZKZ,152,1,836,Correct,2,706
2,ZUZUZ,12,3,604,Correct,2,767
3,E,5,3,3392,New Target,3,881
3,YZYZY,151,1,632,Correct,3,913
3,VFVNV,161,2,675,Correct,3,950
3,KYKYK,151,1,721,Correct,3,796
3,NKNKN,152,1,912,Correct,3,696
3,XVXNX,161,2,641,Correct,3,944
3,RERFR,71,3,619,Correct,3,949
3,XNXNX,13,1,619,Correct,3,910
3,NXNXN,152,1,821,Correct,3,913
3,ZLZNZ,161,2,716,Correct,3,908
3,CUCNC,171,2,1020,Correct,3,721
3,FYFRF,16,2,779,Correct,3,801
3,ZLZLZ,151,1,614,Correct,3,751
3,YZYZY,152,1,964,Correct,3,853
3,CYCYC,153,1,602,Correct,3,772
3,VUVUV,192,1,692,Correct,3,936
3,PXPRP,16,2,571,Correct,3,928
3,YPYPY,151,1,604,Correct,3,786
3,CECEC,8,3,928,Correct,3,784
3,VNENV,223,1,981,Correct,3,774
3,KRKFK,222,2,888,Correct,3,786
3,XLXLE,225,1,1040,Correct,3,779
3,RFRUR,183,2,945,Correct,3,816
3,XRXLX,16,2,635,Correct,3,689
3,NZNPN,162,2,608,Correct,3,671
3,XZXZX,151,1,879,Correct,3,818
