Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,712
1,DLDUD,16,1,562,False,0,796
1,PDPGP,16,,,False,0,878
1,MWMWM,15,1,1407,Correct,0,914
1,FTFTF,15,1,972,Correct,0,859
1,AXAMA,16,2,1361,Correct,0,654
1,RYRGR,16,2,881,Correct,0,827
1,DODOD,15,1,882,Correct,0,842
1,QTQAQ,16,2,1126,Correct,0,680
1,YEYEY,15,1,629,Correct,0,661
2,GYGDG,16,2,1061,Correct,0,768
2,SWSWS,15,1,721,Correct,0,802
2,HLHUH,16,2,861,Correct,0,733
2,DEDED,15,1,586,Correct,0,945
2,ZPZOZ,16,2,698,Correct,0,723
2,ATATA,15,1,983,Correct,0,735
2,QOQOQ,15,1,709,Correct,0,783
2,FPFGF,16,2,721,Correct,0,742
2,TRTET,16,2,756,Correct,0,949
2,DQDQD,15,1,777,Correct,0,854
4,PLPLP,15,1,1214,Correct,0,807
4,ATAIA,16,2,647,Correct,0,748
4,SKSGS,16,2,897,Correct,0,814
4,ZYZYZ,15,1,781,Correct,0,944
4,QSQSQ,15,1,757,Correct,0,795
4,TZTDT,16,2,813,Correct,0,762
4,JYJGJ,16,2,808,Correct,0,658
4,DYDYD,15,1,588,Correct,0,851
4,LTLCL,16,2,793,Correct,0,874
4,FQFEF,16,2,818,Correct,0,673
AT Practice
1,TKTKT,15,,,False,0,783
1,SLSUS,16,,,False,0,854
1,VZVGV,7,1,1229,False,0,682
1,XWXZX,7,2,882,False,0,839
1,ATATA,15,2,1330,False,0,854
1,HXZMH,16,,,False,0,765
1,TZTZT,7,1,1213,False,0,784
1,UOUOU,15,2,1557,False,0,701
1,ZTWAW,16,,,False,0,745
1,RZRER,7,,,False,0,805
2,JYJDJ,16,,,False,0,821
2,DWDWD,15,,,False,0,939
2,GNGNG,7,,,False,0,671
2,NEZEZ,16,,,False,0,839
2,RNROR,7,1,1462,False,0,933
2,QTQNQ,7,,,False,0,725
2,HOHON,15,,,False,0,777
2,KPKGK,16,,,False,0,718
2,DRDED,16,,,False,0,874
2,LNLNL,7,,,False,0,780
4,GLGLG,15,,,False,0,858
4,DTDID,16,,,False,0,703
4,SMSGS,16,,,False,0,931
4,ZFZYZ,7,,,False,0,909
4,TSTFT,7,,,False,0,892
4,OFOFO,7,3,900,Correct,0,669
4,WYFGW,16,,,False,0,893
4,WYWYW,15,3,1213,False,0,751
4,MFMCM,7,2,1520,False,0,855
4,HQHEH,16,,,False,0,674
