Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1051,Correct,0,882
1,DLDUD,16,2,784,Correct,0,949
1,PDPGP,16,2,966,Correct,0,834
1,MWMWM,15,1,867,Correct,0,855
1,FTFTF,15,1,707,Correct,0,907
1,AXAMA,16,2,728,Correct,0,938
1,RYRGR,16,2,978,Correct,0,731
1,DODOD,15,1,564,Correct,0,735
1,QTQAQ,16,2,781,Correct,0,933
1,YEYEY,15,1,486,Correct,0,680
2,GYGDG,16,2,799,Correct,0,691
2,SWSWS,15,1,475,Correct,0,686
2,HLHUH,16,1,587,False,0,801
2,DEDED,15,1,547,Correct,0,931
2,ZPZOZ,16,2,562,Correct,0,813
2,ATATA,15,1,645,Correct,0,753
2,QOQOQ,15,1,641,Correct,0,773
2,FPFGF,16,2,695,Correct,0,945
2,TRTET,16,2,687,Correct,0,825
2,DQDQD,15,1,563,Correct,0,932
4,PLPLP,15,1,661,Correct,0,918
4,ATAIA,16,2,631,Correct,0,680
4,SKSGS,16,2,862,Correct,0,916
4,ZYZYZ,15,1,549,Correct,0,732
4,QSQSQ,15,1,560,Correct,0,857
4,TZTDT,16,2,826,Correct,0,882
4,JYJGJ,16,2,706,Correct,0,720
4,DYDYD,15,1,599,Correct,0,944
4,LTLCL,16,2,658,Correct,0,784
4,FQFEF,16,2,569,Correct,0,886
1,SKSKS,15,1,797,Correct,0,784
1,DLDUD,16,2,709,Correct,0,748
1,PDPGP,16,2,725,Correct,0,693
1,MWMWM,15,1,538,Correct,0,847
1,FTFTF,15,1,893,Correct,0,777
1,AXAMA,16,2,602,Correct,0,893
1,RYRGR,16,2,595,Correct,0,866
1,DODOD,15,1,547,Correct,0,764
1,QTQAQ,16,2,789,Correct,0,767
1,YEYEY,15,1,588,Correct,0,794
AT Practice
1,TKTKT,15,,,False,0,949
1,SLSUS,16,,,False,0,792
1,VZVGV,7,,,False,0,836
1,XWXZX,7,3,642,Correct,0,725
1,ATATA,15,2,1226,False,0,908
1,HXZMH,16,2,1569,Correct,0,752
1,TZTZT,7,3,1006,Correct,0,706
1,UOUOU,15,2,1201,False,0,700
1,ZTWAW,16,,,False,0,766
1,RZRER,7,3,1323,Correct,0,854
2,JYJDJ,16,,,False,0,754
2,DWDWD,15,,,False,0,885
2,GNGNG,7,3,809,Correct,0,750
2,NEZEZ,16,2,1558,False,0,660
2,RNROR,7,3,1021,Correct,0,828
2,QTQNQ,7,3,794,Correct,0,799
2,HOHON,15,1,1519,Correct,0,774
2,KPKGK,16,2,924,Correct,0,700
2,DRDED,16,2,1047,Correct,0,943
2,LNLNL,7,3,708,Correct,0,795
4,GLGLG,15,,,False,0,849
4,DTDID,16,2,1053,Correct,0,806
4,SMSGS,16,2,1063,Correct,0,893
4,ZFZYZ,7,3,984,Correct,0,662
4,TSTFT,7,3,1174,Correct,0,793
4,OFOFO,7,3,928,Correct,0,701
4,WYFGW,16,,,False,0,765
4,WYWYW,15,1,1134,Correct,0,689
4,MFMCM,7,3,1075,Correct,0,943
4,HQHEH,16,2,1009,Correct,0,723
1,TKTKT,15,1,1245,Correct,0,859
1,SLSUS,16,2,815,Correct,0,845
1,VZVGV,7,3,952,Correct,0,749
1,XWXZX,7,3,776,Correct,0,778
1,ATATA,15,1,875,Correct,0,905
1,HXZMH,16,2,1346,Correct,0,661
1,TZTZT,7,3,591,Correct,0,875
1,UOUOU,15,1,913,Correct,0,669
1,ZTWAW,16,2,754,Correct,0,749
1,RZRER,7,3,585,Correct,0,777
Trials
1,D,5,3,8792,New Target,1,722
1,ZNZYZ,161,2,1202,Correct,1,831
1,FZFZF,151,3,777,Incorrect,1,895
1,RKRKR,152,1,861,Correct,1,910
1,RXRNR,161,2,994,Correct,1,827
1,CNCFC,162,2,1016,Correct,1,673
1,PDPDP,7,3,678,Correct,1,846
1,CPCFC,14,2,873,Correct,1,683
1,VLVNV,162,2,798,Correct,1,845
1,KFKFK,151,1,1066,Correct,1,764
1,ZNZNZ,152,1,1144,Correct,1,773
1,KCKPD,235,2,1188,Correct,1,835
1,ZKZFZ,222,2,1409,Correct,1,749
1,NRNZN,162,2,958,Correct,1,913
1,KXKRK,163,2,696,Correct,1,672
1,YPYZY,164,2,856,Correct,1,750
1,FKDKF,223,1,944,Correct,1,743
1,RPRPR,113,1,874,Correct,1,665
1,VRVKV,161,2,934,Correct,1,719
1,RFRPR,162,2,812,Correct,1,735
1,KVKVK,151,1,547,Correct,1,892
1,YKYVY,161,2,823,Correct,1,751
1,VDVDV,8,3,572,Correct,1,885
1,DVZVZ,221,1,1039,Correct,1,799
1,YFYFY,113,1,603,Correct,1,883
1,ZYZYZ,152,1,888,Correct,1,906
1,VLVXV,161,2,619,Correct,1,833
1,DPXZX,231,2,1249,Correct,1,714
1,RYRYR,113,1,679,Correct,1,863
1,PDPNP,91,2,773,Incorrect,1,852
1,KXKXK,13,1,853,Correct,1,674
1,ZYZYZ,152,1,864,Correct,1,656
1,VKVKV,153,1,771,Correct,1,937
1,YZYZY,154,1,862,Correct,1,770
1,NLNZN,161,2,819,Correct,1,890
1,ZNDYZ,233,2,1004,Correct,1,814
1,PCPXP,222,2,782,Correct,1,792
1,ZVZFZ,162,2,825,Correct,1,785
1,RCRZR,163,2,599,Correct,1,672
1,LRLRL,151,1,676,Correct,1,901
1,ZDZDZ,10,3,546,Correct,1,788
1,RNRZR,14,2,839,Correct,1,745
1,CXCYC,162,2,804,Correct,1,654
1,RCRLR,163,2,619,Correct,1,906
1,FRFRF,151,1,592,Correct,1,727
1,XFXFX,152,1,668,Correct,1,922
1,RPRLR,161,2,672,Correct,1,657
1,YXYRY,162,2,692,Correct,1,707
1,FYFYF,151,1,538,Correct,1,947
1,YZYVY,161,2,1041,Correct,1,666
1,YKYKY,151,1,832,Correct,1,863
1,XRXRX,152,1,590,Correct,1,661
1,XVXZX,161,2,709,Correct,1,673
1,PDPDP,11,3,464,Correct,1,819
1,ZFZFZ,13,1,674,Correct,1,874
1,PXPXP,152,1,614,Correct,1,699
1,LYLYL,153,1,613,Correct,1,840
1,NKNKD,225,2,730,Incorrect,1,701
1,ZNZNZ,113,1,771,Correct,1,909
1,PYPZP,161,2,775,Correct,1,943
1,XPXPX,151,1,626,Correct,1,768
1,VLVLV,152,1,552,Correct,1,661
1,PKPXP,161,2,746,Correct,1,809
1,FZFZF,151,1,629,Correct,1,813
1,LDLDL,12,3,531,Correct,1,869
2,U,5,3,4235,New Target,2,842
2,ZVZFZ,161,2,959,Correct,2,881
2,FZFZF,151,1,795,Correct,2,896
2,RFRFR,152,2,757,Incorrect,2,772
2,NZNKN,161,2,1394,Correct,2,768
2,FZFNF,162,2,851,Correct,2,834
2,RXRXR,151,1,662,Correct,2,869
2,KRKYK,161,2,891,Correct,2,651
2,NZNPN,162,2,881,Correct,2,808
2,XPXPX,151,1,636,Correct,2,686
2,CUCUC,7,3,842,Correct,2,819
2,RFRFR,13,1,655,Correct,2,885
2,VYVXV,161,2,696,Correct,2,888
2,VDVDV,191,3,651,Incorrect,2,695
2,ZKZRZ,15,2,1140,Correct,2,914
2,XCXCX,151,1,746,Correct,2,936
2,CNCUC,82,3,977,Correct,2,943
2,RCRCR,13,1,838,Correct,2,773
2,ZPZXZ,161,2,799,Correct,2,789
2,FKFYF,162,2,732,Correct,2,685
2,ZFZYZ,163,2,729,Correct,2,769
2,PXPXP,151,1,786,Correct,2,927
2,URCKC,231,2,969,Correct,2,895
2,PCPCP,113,1,744,Correct,2,924
2,XNXNX,152,1,671,Correct,2,938
2,RCRZR,161,2,604,Correct,2,799
2,XVXVX,151,1,716,Correct,2,800
2,NRNRN,152,1,850,Correct,2,949
2,FPFPF,225,1,682,Correct,2,805
2,XVXFX,222,2,663,Correct,2,874
2,PRPRP,151,1,693,Correct,2,749
2,FYFCF,161,2,725,Correct,2,774
2,XUXFX,91,3,1008,Correct,2,831
2,CYCVC,14,2,1156,Correct,2,785
2,VDVKV,172,2,1341,Correct,2,865
2,YCYCY,15,1,1014,Correct,2,686
2,NKNLN,161,2,852,Correct,2,838
2,XPUKX,233,2,1542,Correct,2,894
2,ZPZPZ,113,1,719,Correct,2,948
2,KRKRK,152,1,636,Correct,2,818
2,XKXKX,153,1,715,Correct,2,872
2,YUYVY,101,3,678,Correct,2,843
2,XKXFU,235,2,1203,Correct,2,738
2,NFNFN,113,1,766,Correct,2,813
2,KDKDK,193,1,652,Correct,2,731
2,XYXKX,16,2,807,Correct,2,950
2,YZUZY,223,1,1422,Correct,2,806
2,KFKVK,222,2,658,Correct,2,749
2,LYLYL,151,1,755,Correct,2,730
2,CXCDC,184,2,810,Incorrect,2,874
2,XZXNX,16,2,874,Correct,2,650
2,PXPXP,151,1,934,Correct,2,657
