Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
Trials
1,X,5,22,1117,New Target,1,684
1,CKCKC,151,1,767,Correct,1,655
1,BEBCB,181,2,651,Correct,1,903
1,OGOLO,162,2,659,Correct,1,726
1,NQNLN,163,2,708,Correct,1,688
1,THTHT,151,1,573,Correct,1,851
1,MTMUM,171,2,899,Correct,1,651
1,QPQWQ,162,2,760,Correct,1,757
1,HXHXH,7,[1][3],[1024][1160],Correct,1,829
1,BHBKB,171,2,992,Incorrect,1,864
1,WOWOW,151,1,805,Correct,1,661
1,EBEBE,152,1,1103,Correct,1,710
1,P,6,13,1157,New Target,1,749
1,GUGUG,151,1,1180,Correct,1,871
1,CBXBC,223,1,800,Correct,1,912
