Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
Trials
1,K,5,3,5699,New Target,1,931
1,CACHC,161,,,Incorrect,1,850
1,RWRCR,162,,,Incorrect,1,831
1,FOFVF,163,,,Incorrect,1,787
1,LGLGL,151,,,Incorrect,1,834
1,PLPLP,152,1,963,Correct,1,949
1,NPNPN,153,1,954,Correct,1,706
1,SGSZS,161,,,Incorrect,1,745
1,DNDMD,162,,,Incorrect,1,817
1,OCOAK,235,,,Incorrect,1,838
1,VYVYV,113,1,703,Correct,1,725
1,RLRLR,152,1,645,Correct,1,655
1,DKDKD,7,1,630,Incorrect,1,712
1,ZLZLZ,13,1,832,Correct,1,946
1,FZFZF,152,1,1246,Correct,1,654
1,CFCFC,153,1,937,Correct,1,671
1,OZOZO,154,1,751,Correct,1,717
1,XEXEX,191,1,606,Correct,1,744
1,NVNFN,16,,,Incorrect,1,938
1,AYAYA,151,1,648,Correct,1,754
1,BNBVB,161,,,Incorrect,1,781
1,AHKXA,233,,,Incorrect,1,692
1,WFWFW,113,1,826,Correct,1,948
1,SNSNS,152,1,660,Correct,1,767
1,FKFMF,81,,,Incorrect,1,856
1,DZDYD,14,,,Incorrect,1,669
1,GXGDG,162,,,Incorrect,1,721
1,AYAYK,225,1,759,Correct,1,927
1,FPFGF,222,,,Incorrect,1,886
1,WRWRW,151,1,730,Correct,1,701
1,YPYEY,182,,,Incorrect,1,684
1,SQSQS,15,1,760,Correct,1,679
1,WZWPW,161,,,Incorrect,1,797
1,CKCKC,9,1,1007,Incorrect,1,847
1,BWBVB,14,,,Incorrect,1,668
1,HMHMH,151,1,908,Correct,1,817
1,VEVNV,173,,,Incorrect,1,747
1,GMGVG,16,,,Incorrect,1,865
1,XHXKX,102,,,Incorrect,1,798
1,QXQRQ,14,,,Incorrect,1,766
1,LQLQL,151,1,735,Correct,1,752
1,ALELA,223,1,524,Correct,1,794
1,TPTKT,222,,,Incorrect,1,771
1,GEGEG,194,1,956,Correct,1,817
1,ZNZNZ,15,1,868,Correct,1,700
1,YZYZY,152,1,618,Correct,1,827
1,SYSYS,153,1,603,Correct,1,740
1,ZSZSZ,221,1,825,Correct,1,905
1,LALGL,222,,,Incorrect,1,774
1,CYCTC,162,,,Incorrect,1,916
1,WEWEW,195,1,718,Correct,1,945
1,CHCSC,16,,,Incorrect,1,749
1,GWGXG,162,,,Incorrect,1,722
1,FGFGF,151,1,723,Correct,1,756
1,QWQKQ,112,,,Incorrect,1,870
1,OQOFO,14,,,Incorrect,1,863
1,PMPEP,186,,,Incorrect,1,944
1,WBWPW,16,,,Incorrect,1,864
1,KCDHD,231,,,Incorrect,1,807
1,RSRWR,222,,,Incorrect,1,651
1,HGHGH,151,1,686,Correct,1,750
1,SKSKS,12,1,750,Incorrect,1,700
2,L,5,3,6884,New Target,2,946
2,PDPDP,151,2,1111,Incorrect,2,711
2,WAWAW,152,2,1063,Incorrect,2,720
2,HWHWH,153,2,824,Incorrect,2,715
2,SHSHS,154,2,821,Incorrect,2,722
2,BRBWB,161,,,Incorrect,2,944
2,FPFBF,162,,,Incorrect,2,799
2,GAGAG,151,2,535,Incorrect,2,865
2,QVQGQ,161,,,Incorrect,2,654
2,CLCLC,7,2,515,Incorrect,2,661
2,XWXWX,13,2,755,Incorrect,2,945
2,AUAUA,152,2,575,Incorrect,2,696
2,CKCKC,191,2,1036,Incorrect,2,927
2,FNFCF,16,,,Incorrect,2,844
2,UHUQU,162,,,Incorrect,2,793
2,FZFZF,151,2,833,Incorrect,2,864
2,THLHT,223,2,744,Incorrect,2,800
2,CUCLC,82,,,Incorrect,2,865
2,BSBSB,13,2,526,Incorrect,2,773
2,FDFBF,161,,,Incorrect,2,787
2,LXRXR,221,2,713,Incorrect,2,887
2,ZOZNZ,222,,,Incorrect,2,882
2,UZUZU,151,2,690,Incorrect,2,731
2,AQATA,161,,,Incorrect,2,879
