Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
Trials
1,D,5,3,1038,New Target,1,677
1,BYBYB,151,1,974,Correct,1,946
1,FBFBF,152,1,617,Correct,1,826
1,RKRKR,153,1,730,Correct,1,878
1,QSQNQ,161,2,699,Correct,1,910
1,CTCFC,162,1,780,Incorrect,1,781
1,PDPNP,71,3,787,Correct,1,712
1,OPOFO,14,2,836,Correct,1,820
1,HLHNH,162,2,795,Correct,1,809
1,MFMFM,151,1,961,Correct,1,929
1,BTBTB,152,2,750,Incorrect,1,662
1,MCMPD,235,2,879,Correct,1,800
1,BMBFB,222,2,875,Correct,1,713
1,NTNZN,162,2,858,Correct,1,671
1,MXMRM,163,1,773,Incorrect,1,779
1,APABA,164,2,902,Correct,1,735
1,FMDMF,223,2,806,Incorrect,1,914
1,QPQPQ,111,1,721,Correct,1,919
1,VQVMV,161,2,821,Correct,1,792
1,RERPR,162,1,821,Incorrect,1,745
1,KVKVK,151,1,832,Correct,1,825
1,AKAHA,161,2,734,Correct,1,804
1,VDVDV,8,3,489,Correct,1,816
1,DUGUG,221,1,866,Correct,1,743
1,AFAFA,111,1,708,Correct,1,702
1,GYGYG,152,1,899,Correct,1,871
1,VXVSV,161,2,985,Correct,1,935
1,DOWGW,231,2,920,Correct,1,921
1,QYQYQ,111,1,673,Correct,1,823
1,ODONO,91,3,904,Correct,1,808
1,MSMSM,13,1,731,Correct,1,853
1,GYGYG,152,1,994,Correct,1,740
1,UMUMU,153,1,915,Correct,1,919
1,BZBZB,154,1,813,Correct,1,709
1,NTNBN,161,3,1072,Incorrect,1,710
1,GNDYG,233,2,925,Correct,1,930
1,OCOSO,222,2,752,Correct,1,880
1,BHBFB,162,2,1121,Correct,1,866
1,QCQBQ,163,2,1198,Correct,1,939
1,LQLQL,151,1,1060,Correct,1,912
1,ZDZDZ,10,1,841,Incorrect,1,808
1,QNQZQ,14,2,977,Correct,1,739
1,CSCYC,162,2,803,Correct,1,758
1,RCRLR,163,2,876,Correct,1,750
1,FRFRF,151,1,739,Correct,1,815
1,WFWFW,152,1,643,Correct,1,892
1,QOQLQ,161,2,941,Correct,1,703
1,AWAQA,162,2,745,Correct,1,755
1,EAEAE,151,1,952,Correct,1,747
1,AGAUA,161,2,855,Correct,1,704
1,YMYMY,151,1,624,Correct,1,760
1,XQXQX,152,1,901,Correct,1,757
1,SHSGS,161,2,856,Correct,1,656
1,PDPDP,11,3,653,Correct,1,935
1,ZGZGZ,13,1,817,Correct,1,948
1,OXOXO,152,1,673,Correct,1,767
1,LYLYL,153,1,706,Correct,1,949
1,NKNKD,225,2,932,Incorrect,1,879
1,GNGNG,111,1,871,Correct,1,808
1,OYOBO,161,2,732,Correct,1,886
1,SOSOS,151,,,Incorrect,1,808
1,VHVHV,152,1,1042,Correct,1,659
1,OKOXO,161,2,970,Correct,1,701
1,EZEZE,151,1,727,Correct,1,916
1,LDLDL,12,3,964,Correct,1,866
2,U,5,3,1240,New Target,2,760
2,BVBEB,161,2,1013,Correct,2,744
2,FBFBF,151,1,794,Correct,2,888
2,RFRFR,152,1,1196,Correct,2,726
2,NBNKN,161,2,1247,Correct,2,779
2,MKMNM,162,2,1294,Correct,2,754
